Virus Strain Name,Accession_ID,Lineage,Sample_Collection_Date,country,province,city
hCoV-19/Hong Kong/VZ22358954/2022,EPI_ISL_16077175,CH.1.1.3,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22358955/2022,EPI_ISL_16077176,BF.7,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22358956/2022,EPI_ISL_16077177,BA.5.2.13,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22358964/2022,EPI_ISL_16077178,BQ.1.1.14,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22358975/2022,EPI_ISL_16077179,CH.1.1.3,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359000/2022,EPI_ISL_16077180,CH.1.1.3,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359022/2022,EPI_ISL_16077181,BQ.1.1.32,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359076/2022,EPI_ISL_16077182,CH.1.1.3,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359077/2022,EPI_ISL_16077183,DQ.1,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359097/2022,EPI_ISL_16077184,BR.2.1,12/1/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359134/2022,EPI_ISL_16077185,CH.1.1.3,12/2/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359136/2022,EPI_ISL_16077186,BQ.1.1.14,12/2/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359173/2022,EPI_ISL_16077187,BQ.1.1.14,12/2/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359248/2022,EPI_ISL_16077188,BQ.1.1.3,12/2/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359252/2022,EPI_ISL_16077189,CH.1.1.3,12/2/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359344/2022,EPI_ISL_16077190,CH.1.1.3,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359345/2022,EPI_ISL_16077191,BQ.1.1.14,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359371/2022,EPI_ISL_16077192,BQ.1.1,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359381/2022,EPI_ISL_16077193,BQ.1.1.14,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359405/2022,EPI_ISL_16077194,BQ.1.1.14,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359413/2022,EPI_ISL_16077195,BQ.1.1.14,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359454/2022,EPI_ISL_16077196,CH.1.1.3,12/3/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359542/2022,EPI_ISL_16077197,CH.1.1.3,12/4/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359606/2022,EPI_ISL_16077198,CH.1.1.3,12/4/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359609/2022,EPI_ISL_16077199,BQ.1.1,12/4/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359610/2022,EPI_ISL_16077200,BQ.1.1.11,12/4/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359686/2022,EPI_ISL_16077202,BQ.1.1.32,12/5/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359709/2022,EPI_ISL_16077203,BQ.1.1,12/5/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359718/2022,EPI_ISL_16077204,CH.1.1.3,12/5/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359802/2022,EPI_ISL_16077206,CH.1.1.3,12/5/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359817/2022,EPI_ISL_16077207,BQ.1.1,12/6/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359846/2022,EPI_ISL_16077208,BQ.1.1.32,12/6/2022,China,Hong Kong,
hCoV-19/Hong Kong/VZ22359920/2022,EPI_ISL_16077210,CH.1.1.3,12/6/2022,China,Hong Kong,
hCoV-19/Taiwan/NCKUH-061022012961/2022,EPI_ISL_16253344,BA.5.2.27,12/13/2022,China,Taiwan,Tainan
hCoV-19/Taiwan/NCKUH-061022012984/2022,EPI_ISL_16253369,BA.5.2,12/14/2022,China,Taiwan,Tainan
hCoV-19/Taiwan/NCKUH-061022013033/2022,EPI_ISL_16253439,BF.27,12/19/2022,China,Taiwan,Tainan
hCoV-19/Beijing/IVDC-631/2022,EPI_ISL_16277970,BF.7.14,12/11/2022,China,Beijing,Chaoyang
hCoV-19/Sichuan/SCDCP-4567/2022,EPI_ISL_16283873,BA.5.2.49,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4568/2022,EPI_ISL_16283874,BA.5.2.49,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4569/2022,EPI_ISL_16283875,BA.5.2.48,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4570/2022,EPI_ISL_16283876,BA.5.2.48,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4571/2022,EPI_ISL_16283877,BA.5.2.49,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4572/2022,EPI_ISL_16283879,BA.5.2.48,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4573/2022,EPI_ISL_16283880,BA.5.2.48,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4574/2022,EPI_ISL_16283881,BF.7.14,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4575/2022,EPI_ISL_16283882,BF.7.14,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4576/2022,EPI_ISL_16283883,BF.7.14,12/24/2022,China,Sichuan,Chengdu
hCoV-19/Fujian/FPCDCP-2723/2022,EPI_ISL_16283957,BA.5.2.48,12/15/2022,China,Fujian,Fuzhou
