Accession_ID,Lineage,province,merged_lineage,date
EPI_ISL_16634490,BF.7.14,Shanghai,BF.7.14*,2022-12-01
EPI_ISL_16599037,BF.7.14,Anhui,BF.7.14*,2022-12-01
EPI_ISL_16077177,BA.5.2.13,Hong Kong,BA.5.2*,2022-12-01
EPI_ISL_16617203,BA.5.2.49,Hubei,BA.5.2*,2022-12-03
EPI_ISL_17489518,BF.7.14.1,Fujian,BF.7.14*,2022-12-04
EPI_ISL_16633895,BA.5.2.49,Anhui,BA.5.2*,2022-12-07
EPI_ISL_17581933,CM.12,Hong Kong,Others,2022-12-09
EPI_ISL_17581685,BA.5.2.1,Hong Kong,BA.5.2*,2022-12-12
EPI_ISL_17031552,BF.7.14,Hebei,BF.7.14*,2022-12-13
EPI_ISL_16327600,XBB.1.5,Shanghai,XBB.1.5*,2022-12-15
EPI_ISL_16616847,BF.7.14.1,Hubei,BF.7.14*,2022-12-27
EPI_ISL_17805472,BF.7.14,Hainan,BF.7.14*,2022-12-31
EPI_ISL_16713277,BA.5.2.48,Jilin,BA.5.2*,2023-01-01
EPI_ISL_16713297,BA.5.2.49,Jilin,BA.5.2*,2023-01-02
EPI_ISL_16713284,BF.7.14,Jilin,BF.7.14*,2023-01-02
EPI_ISL_16646065,BA.5.2.48,Yunnan,BA.5.2*,2023-01-02
EPI_ISL_16635291,BA.5.2.48,Inner Mongolia,BA.5.2*,2023-01-02
EPI_ISL_16596951,BA.5.2.48,Jiangxi,BA.5.2*,2023-01-02
EPI_ISL_17086605,BF.7.14,Guangxi,BF.7.14*,2023-01-03
EPI_ISL_16646036,BF.7.14,Yunnan,BF.7.14*,2023-01-03
EPI_ISL_16635309,BF.7.14,Inner Mongolia,BF.7.14*,2023-01-03
EPI_ISL_16635305,BA.5.2.48,Inner Mongolia,BA.5.2*,2023-01-03
EPI_ISL_16614090,BF.7.14,Hainan,BF.7.14*,2023-01-03
EPI_ISL_16598675,BA.5.2.48,Hunan,BA.5.2*,2023-01-03
EPI_ISL_16524122,BQ.1.1,Hong Kong,Others,2023-01-03
EPI_ISL_17088727,BA.5.2.48,Guangxi,BA.5.2*,2023-01-04
EPI_ISL_16636001,BA.5.2.48,Shanghai,BA.5.2*,2023-01-04
EPI_ISL_16635999,BA.5.2.48,Shanghai,BA.5.2*,2023-01-04
EPI_ISL_16635997,BF.7.14,Shanghai,BF.7.14*,2023-01-04
EPI_ISL_16635988,DN.1,Shanghai,Others,2023-01-04
EPI_ISL_16635943,BA.5.2,Xinjiang,BA.5.2*,2023-01-04
EPI_ISL_16598677,BA.5.2.48,Hunan,BA.5.2*,2023-01-04
EPI_ISL_16524093,BN.1.3,Hong Kong,BA.2.75*,2023-01-04
EPI_ISL_17487747,BF.7.14,Hubei,BF.7.14*,2023-01-05
EPI_ISL_16853783,BF.7.14,Shanxi,BF.7.14*,2023-01-05
EPI_ISL_16723875,BA.5.2.48,Taiwan,BA.5.2*,2023-01-05
EPI_ISL_16702035,BA.5.2.48,Chongqing,BA.5.2*,2023-01-05
EPI_ISL_16646057,BA.5.2.48,Yunnan,BA.5.2*,2023-01-05
EPI_ISL_16635746,BA.5.1,Zhejiang,Others,2023-01-05
EPI_ISL_16635235,BF.7.14,Liaoning,BF.7.14*,2023-01-05
EPI_ISL_16597036,BF.7.14.3,Jiangxi,BF.7.14*,2023-01-05
EPI_ISL_16670978,BA.5.2.48,Jiangsu,BA.5.2*,2023-01-07
EPI_ISL_16635083,BA.5.2.48,Ningxia,BA.5.2*,2023-01-07
EPI_ISL_17086612,BF.7.14,Guangxi,BF.7.14*,2023-01-08
EPI_ISL_16635115,BF.7.14,Ningxia,BF.7.14*,2023-01-08
EPI_ISL_17031623,BA.5.2.49,Hebei,BA.5.2*,2023-01-09
EPI_ISL_16702084,BA.5.2,Gansu,BA.5.2*,2023-01-09
EPI_ISL_16636227,BA.5.2.48,Guizhou,BA.5.2*,2023-01-09
EPI_ISL_16597925,BF.7.14,Tianjin,BF.7.14*,2023-01-09
EPI_ISL_17088847,BA.5.2.48,Guangxi,BA.5.2*,2023-01-10
EPI_ISL_16864316,BA.5.2.48,Taiwan,BA.5.2*,2023-01-11
EPI_ISL_16598721,BA.5.2.49,Hunan,BA.5.2*,2023-01-12
EPI_ISL_17488448,DY.1.1,Fujian,BA.5.2*,2023-01-16
EPI_ISL_17488404,BF.7.14.1,Zhejiang,BF.7.14*,2023-01-16
EPI_ISL_16758196,BF.7.14,Shandong,BF.7.14*,2023-01-17
EPI_ISL_16830920,BF.7.14,Taiwan,BF.7.14*,2023-01-18
EPI_ISL_17031730,BA.5.2.49,Hebei,BA.5.2*,2023-01-23
EPI_ISL_16970226,BF.7.14.4,Sichuan,BF.7.14*,2023-02-01
