month,lineage,genome_number,lineage_full_name,merged_lineage
January,DY.2,1140,B.1.1.529.5.2.48.2,BA.5.2.48*
January,BF.7.14,967,B.1.1.529.5.2.1.7.14,BF.7.14*
January,DY.4,869,B.1.1.529.5.2.48.4,BA.5.2.48*
January,BA.5.2.48,684,B.1.1.529.5.2.48,BA.5.2.48*
January,DY.3,506,B.1.1.529.5.2.48.3,BA.5.2.48*
January,DY.1,477,B.1.1.529.5.2.48.1,BA.5.2.48*
January,DZ.1,201,B.1.1.529.5.2.49.1,Others
January,BF.7.14.1,138,B.1.1.529.5.2.1.7.14.1,BF.7.14*
January,BF.7.14.5,122,B.1.1.529.5.2.1.7.14.5,BF.7.14*
January,BF.7.14.4,111,B.1.1.529.5.2.1.7.14.4,BF.7.14*
January,BA.5.2.50,76,B.1.1.529.5.2.50,Others
January,DZ.2,55,B.1.1.529.5.2.49.2,Others
January,BF.7.14.6,52,B.1.1.529.5.2.1.7.14.6,BF.7.14*
January,BA.5.2,51,B.1.1.529.5.2,Others
January,BF.7.14.3,38,B.1.1.529.5.2.1.7.14.3,BF.7.14*
January,DY.1.1,33,B.1.1.529.5.2.48.1.1,BA.5.2.48*
January,BA.5.2.49,32,B.1.1.529.5.2.49,Others
January,BA.5.2.1,17,B.1.1.529.5.2.1,Others
January,BF.7.14.2,16,B.1.1.529.5.2.1.7.14.2,BF.7.14*
January,BN.1.3,12,B.1.1.529.2.75.5.1.3,BA.2.75*
January,BF.7.14.7,12,B.1.1.529.5.2.1.7.14.7,BF.7.14*
January,BQ.1.1,11,B.1.1.529.5.3.1.1.1.1.1.1,Others
January,BA.5.1.32,11,B.1.1.529.5.1.32,Others
January,CH.1.1.11,10,B.1.1.529.2.75.3.4.1.1.1.1.11,BA.2.75*
January,CH.1.1,9,B.1.1.529.2.75.3.4.1.1.1.1,BA.2.75*
January,BN.1.3.10,5,B.1.1.529.2.75.5.1.3.10,BA.2.75*
January,BQ.1,4,B.1.1.529.5.3.1.1.1.1.1,Others
January,BF.7,4,B.1.1.529.5.2.1.7,Others
January,FR.1,4,B.1.1.529.2.75.5.1.2.3.1,BA.2.75*
January,BN.1.5,3,B.1.1.529.2.75.5.1.5,BA.2.75*
January,CH.1.1.3,3,B.1.1.529.2.75.3.4.1.1.1.1.3,BA.2.75*
January,CM.12,3,B.1.1.529.2.3.20.12,Others
January,CR.1.1,3,B.1.1.529.5.2.18.1.1,Others
January,XBB.1,3,XBB.1,Others
January,BA.5.1,3,B.1.1.529.5.1,Others
January,BN.1.1.1,2,B.1.1.529.2.75.5.1.1.1,BA.2.75*
January,EJ.2,2,B.1.1.529.2.75.5.1.3.8.2,BA.2.75*
January,BA.5.2.6,2,B.1.1.529.5.2.6,Others
January,BN.1.3.9,2,B.1.1.529.2.75.5.1.3.9,BA.2.75*
January,BN.1.1,2,B.1.1.529.2.75.5.1.1,BA.2.75*
January,BQ.1.2,2,B.1.1.529.5.3.1.1.1.1.1.2,Others
January,XBB.1.5,1,XBB.1.5,XBB.1.5*
January,BF.5,1,B.1.1.529.5.2.1.5,Others
January,BN.1.2.7,1,B.1.1.529.2.75.5.1.2.7,BA.2.75*
January,XBJ.1.1,1,XBJ.1.1,Others
January,BR.2.1,1,B.1.1.529.2.75.4.2.1,BA.2.75*
January,BQ.1.1.31,1,B.1.1.529.5.3.1.1.1.1.1.1.31,Others
January,EE.1,1,B.1.1.529.5.3.1.1.1.1.1.1.4.1,Others
January,BQ.1.1.44,1,B.1.1.529.5.3.1.1.1.1.1.1.44,Others
January,BA.5.2.28,1,B.1.1.529.5.2.28,Others
January,BN.1.2.2,1,B.1.1.529.2.75.5.1.2.2,BA.2.75*
January,BQ.1.31,1,B.1.1.529.5.3.1.1.1.1.1.31,Others
January,BQ.1.23,1,B.1.1.529.5.3.1.1.1.1.1.23,Others
January,CJ.1.3,1,B.1.1.529.2.75.3.1.1.1.1.3,BA.2.75*
January,BA.5.2.27,1,B.1.1.529.5.2.27,Others
January,BQ.1.1.53,1,B.1.1.529.5.3.1.1.1.1.1.1.53,Others
January,BQ.1.1.22,1,B.1.1.529.5.3.1.1.1.1.1.1.22,Others
January,BQ.1.1.38,1,B.1.1.529.5.3.1.1.1.1.1.1.38,Others
January,BA.2.76,1,BA.2.76,Others
January,BQ.1.1.4,1,B.1.1.529.5.3.1.1.1.1.1.1.4,Others
January,XBB.1.9,1,XBB.1.9,Others
January,CM.10,1,B.1.1.529.2.3.20.10,Others
January,BQ.1.1.3,1,B.1.1.529.5.3.1.1.1.1.1.1.3,Others
January,BN.1.10,1,B.1.1.529.2.75.5.1.10,BA.2.75*
January,BN.1.2.6,1,B.1.1.529.2.75.5.1.2.6,BA.2.75*
January,BQ.1.1.66,1,B.1.1.529.5.3.1.1.1.1.1.1.66,Others
January,BQ.1.1.17,1,B.1.1.529.5.3.1.1.1.1.1.1.17,Others
January,BQ.1.1.69,1,B.1.1.529.5.3.1.1.1.1.1.1.69,Others
January,XBB.1.15,1,XBB.1.15,Others
January,DT.2,1,B.1.1.529.5.3.1.1.1.1.1.1.32.2,Others
February,DY.2,659,B.1.1.529.5.2.48.2,BA.5.2.48*
February,BF.7.14,653,B.1.1.529.5.2.1.7.14,BF.7.14*
February,DY.4,446,B.1.1.529.5.2.48.4,BA.5.2.48*
