XBB.1.9*,BA.5.2*,XBB.1.16*,BF.7.14*,XBB.1.22*,XBB.1.5*,date,country
102,0,4,0,4,1,2023-10-09,China
106,1,56,0,16,23,2023-06-07,China
134,0,47,1,41,12,2023-06-26,China
60,0,27,0,18,4,2023-07-12,China
143,0,7,0,4,1,2023-09-05,China
71,0,4,0,7,0,2023-09-02,China
95,0,5,0,5,0,2023-08-17,China
0,118,0,77,0,1,2023-02-27,China
0,199,0,84,0,0,2022-12-22,China
6,49,0,54,0,4,2023-03-11,China
181,0,7,0,11,0,2023-08-28,China
88,0,7,0,13,0,2023-08-18,China
0,43,0,39,0,0,2022-12-08,China
138,0,6,0,16,2,2023-08-16,China
9,48,9,32,15,4,2023-04-01,China
0,210,0,72,0,0,2023-01-17,China
65,0,19,0,10,10,2023-07-20,China
3,116,0,31,0,5,2023-03-02,China
68,0,7,0,8,0,2023-08-19,China
177,12,70,12,38,65,2023-05-08,China
233,4,165,3,35,81,2023-05-15,China
13,64,1,44,0,7,2023-03-24,China
82,0,5,0,5,1,2023-09-10,China
68,1,9,0,9,1,2023-08-04,China
73,0,9,0,9,0,2023-07-23,China
96,0,1,0,1,0,2023-10-10,China
159,0,7,0,19,4,2023-08-07,China
83,2,41,1,15,37,2023-05-12,China
107,1,97,0,27,33,2023-05-21,China
62,0,0,0,0,0,2023-10-12,China
0,75,0,18,0,0,2023-02-12,China
96,0,5,0,2,0,2023-10-16,China
0,51,0,13,0,1,2022-12-15,China
0,54,0,26,0,0,2022-12-18,China
0,237,0,85,0,0,2022-12-01,China
59,0,2,0,7,0,2023-08-25,China
0,200,0,103,0,0,2022-12-19,China
0,276,0,98,0,0,2022-12-27,China
0,291,0,97,0,0,2023-01-16,China
92,2,43,2,12,47,2023-05-07,China
106,0,2,0,1,0,2023-10-18,China
0,66,0,59,0,0,2022-12-05,China
98,0,66,0,30,26,2023-05-26,China
0,54,0,10,0,0,2022-12-07,China
6,145,0,87,0,2,2023-02-28,China
63,0,4,0,1,0,2023-10-08,China
0,97,0,36,0,1,2023-02-17,China
53,0,14,0,15,2,2023-07-21,China
115,0,50,0,20,23,2023-06-02,China
0,155,0,52,0,0,2023-01-08,China
39,21,28,24,4,32,2023-04-21,China
47,0,3,0,0,0,2023-10-02,China
1,78,0,34,0,1,2023-02-26,China
146,8,60,8,29,50,2023-05-05,China
0,60,0,36,0,0,2022-12-04,China
0,68,0,59,0,1,2022-12-09,China
11,52,2,53,3,6,2023-03-31,China
129,0,4,0,12,3,2023-08-30,China
0,38,0,34,0,0,2023-02-11,China
0,39,0,44,0,0,2022-12-11,China
50,0,13,0,15,4,2023-07-14,China
0,164,0,78,0,0,2023-01-12,China
8,22,3,16,3,7,2023-04-08,China
86,0,2,0,8,0,2023-09-03,China
55,0,38,0,18,13,2023-06-10,China
0,123,0,51,0,0,2023-02-01,China
82,0,51,0,25,9,2023-06-16,China
56,0,4,0,0,0,2023-10-19,China
133,0,6,0,14,4,2023-08-14,China
3,113,2,61,0,2,2023-03-07,China
128,11,86,7,24,57,2023-05-01,China
72,0,21,0,38,7,2023-07-05,China
79,0,0,0,7,0,2023-09-15,China
54,0,1,0,3,0,2023-10-03,China
107,0,72,0,32,19,2023-06-01,China
30,30,31,26,24,24,2023-04-19,China
141,2,80,5,28,56,2023-05-10,China
56,0,12,0,20,6,2023-07-26,China
0,99,0,46,0,2,2023-03-09,China
92,10,45,14,10,45,2023-04-28,China
0,117,0,37,0,0,2023-01-07,China
0,66,0,33,0,0,2023-01-29,China
65,1,10,0,10,0,2023-07-28,China
0,234,0,70,0,0,2023-01-10,China
0,220,0,59,0,0,2022-12-21,China
0,97,0,42,0,1,2023-02-02,China
31,36,5,54,3,11,2023-04-07,China
108,21,60,27,8,41,2023-04-26,China
207,0,4,0,9,0,2023-09-11,China
170,1,4,0,2,2,2023-09-12,China
