date,proportion,variant
2022-12-03,0,XBB.1.9*
2022-12-03,0,XBB.1.16*
2022-12-03,0.939212329,BA.5.2*
2022-12-03,0.279965753,BF.7.14*
2022-12-03,0,XBB.1.22*
2022-12-03,0,XBB.1.5*
2022-12-04,0,XBB.1.9*
2022-12-04,0,XBB.1.16*
2022-12-04,0.930359086,BA.5.2*
2022-12-04,0.305767138,BF.7.14*
2022-12-04,0,XBB.1.22*
2022-12-04,0,XBB.1.5*
2022-12-05,0,XBB.1.9*
2022-12-05,0,XBB.1.16*
2022-12-05,0.901542112,BA.5.2*
2022-12-05,0.335705813,BF.7.14*
2022-12-05,0,XBB.1.22*
2022-12-05,0.00118624,XBB.1.5*
2022-12-06,0,XBB.1.9*
2022-12-06,0,XBB.1.16*
2022-12-06,0.886456908,BA.5.2*
2022-12-06,0.332421341,BF.7.14*
2022-12-06,0,XBB.1.22*
2022-12-06,0.001367989,XBB.1.5*
2022-12-07,0,XBB.1.9*
2022-12-07,0,XBB.1.16*
2022-12-07,0.882845188,BA.5.2*
2022-12-07,0.350069735,BF.7.14*
2022-12-07,0,XBB.1.22*
2022-12-07,0.0013947,XBB.1.5*
2022-12-08,0,XBB.1.9*
2022-12-08,0,XBB.1.16*
2022-12-08,0.89516129,BA.5.2*
2022-12-08,0.295698925,BF.7.14*
2022-12-08,0,XBB.1.22*
2022-12-08,0.001344086,XBB.1.5*
2022-12-09,0,XBB.1.9*
2022-12-09,0,XBB.1.16*
2022-12-09,0.884362681,BA.5.2*
2022-12-09,0.29434954,BF.7.14*
2022-12-09,0,XBB.1.22*
2022-12-09,0.00131406,XBB.1.5*
2022-12-10,0,XBB.1.9*
2022-12-10,0,XBB.1.16*
2022-12-10,0.884848485,BA.5.2*
2022-12-10,0.295757576,BF.7.14*
2022-12-10,0,XBB.1.22*
2022-12-10,0.001212121,XBB.1.5*
2022-12-11,0,XBB.1.9*
2022-12-11,0,XBB.1.16*
2022-12-11,0.868357488,BA.5.2*
2022-12-11,0.263285024,BF.7.14*
2022-12-11,0,XBB.1.22*
