date,proportion,variant
2022-12-03,0.001742299,XBB.1.9*
2022-12-03,0.0,XBB.1.16*
2022-12-03,0.261800376,BA.5.2*
2022-12-03,0.003735125,BF.7.14*
2022-12-03,0.0,XBB.1.22*
2022-12-03,0.010487958,XBB.1.5*
2022-12-04,0.001615527,XBB.1.9*
2022-12-04,0.0,XBB.1.16*
2022-12-04,0.258564587,BA.5.2*
2022-12-04,0.003231055,BF.7.14*
2022-12-04,0.0,XBB.1.22*
2022-12-04,0.011217031,XBB.1.5*
2022-12-05,0.001390643,XBB.1.9*
2022-12-05,0.0,XBB.1.16*
2022-12-05,0.25361857,BA.5.2*
2022-12-05,0.003302778,BF.7.14*
2022-12-05,0.0,XBB.1.22*
2022-12-05,0.012226072,XBB.1.5*
2022-12-06,0.001245646,XBB.1.9*
2022-12-06,0.0,XBB.1.16*
2022-12-06,0.250224908,BA.5.2*
2022-12-06,0.002825771,BF.7.14*
2022-12-06,0.0,XBB.1.22*
2022-12-06,0.012987013,XBB.1.5*
2022-12-07,0.001142283,XBB.1.9*
2022-12-07,0.0,XBB.1.16*
2022-12-07,0.248686375,BA.5.2*
2022-12-07,0.002901398,BF.7.14*
2022-12-07,0.0,XBB.1.22*
2022-12-07,0.013867312,XBB.1.5*
2022-12-08,0.001174887,XBB.1.9*
2022-12-08,0.0,XBB.1.16*
2022-12-08,0.242676917,BA.5.2*
2022-12-08,0.002589314,BF.7.14*
2022-12-08,0.0,XBB.1.22*
2022-12-08,0.015399005,XBB.1.5*
2022-12-09,0.001291243,XBB.1.9*
2022-12-09,0.0,XBB.1.16*
2022-12-09,0.240284527,BA.5.2*
2022-12-09,0.00263912,BF.7.14*
2022-12-09,0.0,XBB.1.22*
2022-12-09,0.016242482,XBB.1.5*
2022-12-10,0.001185618,XBB.1.9*
2022-12-10,0.0,XBB.1.16*
2022-12-10,0.239061538,BA.5.2*
2022-12-10,0.002952644,BF.7.14*
2022-12-10,0.0,XBB.1.22*
2022-12-10,0.017351057,XBB.1.5*
2022-12-11,0.00113916,XBB.1.9*
2022-12-11,0.0,XBB.1.16*
2022-12-11,0.232787296,BA.5.2*
2022-12-11,0.002722592,BF.7.14*
2022-12-11,0.0,XBB.1.22*
2022-12-11,0.018602479,XBB.1.5*
2022-12-12,0.001218512,XBB.1.9*
2022-12-12,0.0,XBB.1.16*
2022-12-12,0.229923017,BA.5.2*
2022-12-12,0.002493964,BF.7.14*
2022-12-12,0.0,XBB.1.22*
2022-12-12,0.020031431,XBB.1.5*
2022-12-13,0.00131349,XBB.1.9*
2022-12-13,0.0,XBB.1.16*
2022-12-13,0.228809978,BA.5.2*
2022-12-13,0.00269551,BF.7.14*
2022-12-13,1.14e-05,XBB.1.22*
2022-12-13,0.021175745,XBB.1.5*
2022-12-14,0.001347355,XBB.1.9*
2022-12-14,0.0,XBB.1.16*
2022-12-14,0.225544937,BA.5.2*
2022-12-14,0.002546273,BF.7.14*
2022-12-14,1.14e-05,XBB.1.22*
2022-12-14,0.022128592,XBB.1.5*
2022-12-15,0.001357726,XBB.1.9*
2022-12-15,0.0,XBB.1.16*
2022-12-15,0.221930733,BA.5.2*
2022-12-15,0.003520884,BF.7.14*
2022-12-15,1.15e-05,XBB.1.22*
2022-12-15,0.024807272,XBB.1.5*
2022-12-16,0.00120688,XBB.1.9*
2022-12-16,0.0,XBB.1.16*
2022-12-16,0.220156074,BA.5.2*
2022-12-16,0.003854987,BF.7.14*
2022-12-16,1.17e-05,XBB.1.22*
2022-12-16,0.026680259,XBB.1.5*
2022-12-17,0.001300928,XBB.1.9*
2022-12-17,0.0,XBB.1.16*
2022-12-17,0.219608539,BA.5.2*
2022-12-17,0.004364023,BF.7.14*
2022-12-17,1.18e-05,XBB.1.22*
2022-12-17,0.028573118,XBB.1.5*
2022-12-18,0.001496128,XBB.1.9*
2022-12-18,0.0,XBB.1.16*
2022-12-18,0.22151073,BA.5.2*
2022-12-18,0.005374092,BF.7.14*
2022-12-18,1.2e-05,XBB.1.22*
2022-12-18,0.029754994,XBB.1.5*
2022-12-19,0.001442631,XBB.1.9*
2022-12-19,0.0,XBB.1.16*
2022-12-19,0.219573324,BA.5.2*
2022-12-19,0.005856104,BF.7.14*
2022-12-19,1.22e-05,XBB.1.22*
2022-12-19,0.030796503,XBB.1.5*
2022-12-20,0.001452669,XBB.1.9*
2022-12-20,0.0,XBB.1.16*
2022-12-20,0.221156375,BA.5.2*
2022-12-20,0.006712334,BF.7.14*
2022-12-20,0.0,XBB.1.22*
2022-12-20,0.031032021,XBB.1.5*
2022-12-21,0.001617448,XBB.1.9*
2022-12-21,1.3e-05,XBB.1.16*
2022-12-21,0.225673067,BA.5.2*
2022-12-21,0.007421997,BF.7.14*
2022-12-21,0.0,XBB.1.22*
2022-12-21,0.030953251,XBB.1.5*
2022-12-22,0.001709996,XBB.1.9*
2022-12-22,1.45e-05,XBB.1.16*
2022-12-22,0.229052546,BA.5.2*
2022-12-22,0.008477524,BF.7.14*
2022-12-22,0.0,XBB.1.22*
2022-12-22,0.033591282,XBB.1.5*
2022-12-23,0.001713522,XBB.1.9*
2022-12-23,1.45e-05,XBB.1.16*
2022-12-23,0.227230483,BA.5.2*
2022-12-23,0.009279159,BF.7.14*
2022-12-23,0.0,XBB.1.22*
2022-12-23,0.036622909,XBB.1.5*
2022-12-24,0.001762961,XBB.1.9*
2022-12-24,1.43e-05,XBB.1.16*
2022-12-24,0.222305035,BA.5.2*
2022-12-24,0.010033109,BF.7.14*
2022-12-24,0.0,XBB.1.22*
2022-12-24,0.038899798,XBB.1.5*
2022-12-25,0.001665709,XBB.1.9*
2022-12-25,2.87e-05,XBB.1.16*
2022-12-25,0.212607697,BA.5.2*
2022-12-25,0.01020965,BF.7.14*
2022-12-25,0.0,XBB.1.22*
2022-12-25,0.042231476,XBB.1.5*
2022-12-26,0.001736161,XBB.1.9*
2022-12-26,2.87e-05,XBB.1.16*
2022-12-26,0.205383534,BA.5.2*
2022-12-26,0.010689586,BF.7.14*
2022-12-26,0.0,XBB.1.22*
2022-12-26,0.045843258,XBB.1.5*
2022-12-27,0.001735123,XBB.1.9*
2022-12-27,5.69e-05,XBB.1.16*
2022-12-27,0.199695642,BA.5.2*
2022-12-27,0.010666743,BF.7.14*
2022-12-27,0.0,XBB.1.22*
2022-12-27,0.049109683,XBB.1.5*
2022-12-28,0.001819438,XBB.1.9*
2022-12-28,5.64e-05,XBB.1.16*
2022-12-28,0.19776872,BA.5.2*
2022-12-28,0.010422984,BF.7.14*
2022-12-28,0.0,XBB.1.22*
2022-12-28,0.050478837,XBB.1.5*
2022-12-29,0.001816825,XBB.1.9*
2022-12-29,5.63e-05,XBB.1.16*
2022-12-29,0.184386575,BA.5.2*
2022-12-29,0.009886906,BF.7.14*
2022-12-29,0.0,XBB.1.22*
2022-12-29,0.058659493,XBB.1.5*
2022-12-30,0.002090682,XBB.1.9*
2022-12-30,8.53e-05,XBB.1.16*
2022-12-30,0.174266128,BA.5.2*
2022-12-30,0.010794743,BF.7.14*
2022-12-30,0.0,XBB.1.22*
2022-12-30,0.064512459,XBB.1.5*
2022-12-31,0.00246075,XBB.1.9*
2022-12-31,0.000345368,XBB.1.16*
2022-12-31,0.179548431,BA.5.2*
2022-12-31,0.011454721,BF.7.14*
2022-12-31,0.0,XBB.1.22*
2022-12-31,0.068843447,XBB.1.5*
2023-01-01,0.002564586,XBB.1.9*
2023-01-01,0.000333251,XBB.1.16*
2023-01-01,0.186780069,BA.5.2*
2023-01-01,0.012040512,BF.7.14*
2023-01-01,0.0,XBB.1.22*
2023-01-01,0.072445919,XBB.1.5*
2023-01-02,0.002759003,XBB.1.9*
2023-01-02,0.000335752,XBB.1.16*
2023-01-02,0.19422507,BA.5.2*
2023-01-02,0.012233041,BF.7.14*
2023-01-02,0.0,XBB.1.22*
2023-01-02,0.077135308,XBB.1.5*
2023-01-03,0.002743444,XBB.1.9*
2023-01-03,0.000306449,XBB.1.16*
2023-01-03,0.198359771,BA.5.2*
2023-01-03,0.011893122,BF.7.14*
2023-01-03,1.46e-05,XBB.1.22*
2023-01-03,0.078830242,XBB.1.5*
2023-01-04,0.002751669,XBB.1.9*
2023-01-04,0.000304132,XBB.1.16*
2023-01-04,0.196353314,BA.5.2*
2023-01-04,0.012005967,BF.7.14*
2023-01-04,4.34e-05,XBB.1.22*
2023-01-04,0.082694898,XBB.1.5*
2023-01-05,0.00303048,XBB.1.9*
2023-01-05,0.00032208,XBB.1.16*
2023-01-05,0.196512751,BA.5.2*
2023-01-05,0.012795362,BF.7.14*
2023-01-05,4.39e-05,XBB.1.22*
2023-01-05,0.087005534,XBB.1.5*
2023-01-06,0.003198678,XBB.1.9*
2023-01-06,0.000300345,XBB.1.16*
2023-01-06,0.204129749,BA.5.2*
2023-01-06,0.011818591,BF.7.14*
2023-01-06,4.51e-05,XBB.1.22*
2023-01-06,0.092386244,XBB.1.5*
2023-01-07,0.003209768,XBB.1.9*
