,EventTime,Origin,Destination
0,2020.468687,UNKNOWN,Hong Kong
1,2022.792737,Hong Kong,Hebei
2,2023.093147,Hebei,Zhejiang
3,2022.898707,Hebei,Shandong
4,2022.8742570000002,Hebei,Beijing
5,2022.9808070000001,Beijing,Zhejiang
6,2023.0191670000002,Beijing,Zhejiang
7,2023.0191670000002,Beijing,Zhejiang
8,2023.099817,Beijing,Hebei
9,2022.925377,Beijing,Fujian
10,2023.098627,Beijing,Zhejiang
11,2022.9599070000002,Beijing,Zhejiang
12,2023.016427,Zhejiang,Shandong
13,2023.112317,Shandong,Anhui
14,2023.126017,Anhui,Beijing
15,2023.2169270000002,Anhui,Heilongjiang
16,2022.378607,Hong Kong,Taiwan
17,2022.950677,Taiwan,Shanghai
18,2022.958897,Taiwan,Shanghai
19,2022.8659870000001,Taiwan,Shanghai
20,2023.016427,Shanghai,Zhejiang
21,2022.909507,Taiwan,Hong Kong
22,2023.041087,Taiwan,Zhejiang
23,2023.087657,Taiwan,Hong Kong
24,2023.1424570000001,Taiwan,Hong Kong
25,2023.0958870000002,Taiwan,Hong Kong
26,2022.523297,Taiwan,Shanghai
27,2023.002737,Shanghai,Tianjin
28,2022.702507,Shanghai,Hong Kong
29,2022.9808170000001,Shanghai,Tianjin
30,2023.010957,Shanghai,Tianjin
31,2022.697967,Shanghai,Hong Kong
32,2023.016437,Hong Kong,Zhejiang
33,2022.471557,Hong Kong,Taiwan
34,2022.964367,Hong Kong,Shanghai
35,2022.997247,Hong Kong,Taiwan
36,2022.570627,Hong Kong,Anhui
37,2022.698767,Anhui,Shandong
38,2023.041077,Anhui,Shanxi
39,2023.030117,Anhui,Zhejiang
40,2023.038337,Anhui,Fujian
41,2023.030127,Anhui,Shanxi
42,2023.0903970000002,Anhui,Hubei
43,2023.205467,Anhui,Sichuan
44,2022.993987,Anhui,Heilongjiang
45,2023.0467170000002,Anhui,Gansu
46,2023.002727,Anhui,Shanxi
47,2022.997247,Anhui,Shanxi
48,2023.139707,Anhui,Henan
49,2023.005457,Anhui,Hainan
50,2023.005457,Anhui,Hainan
51,2023.005457,Anhui,Hainan
52,2023.205457,Anhui,Henan
53,2023.0191570000002,Anhui,Shanxi
54,2023.213677,Anhui,Shanghai
55,2023.128367,Anhui,Shanghai
56,2023.2410770000001,Shanghai,Inner Mongolia
57,2023.0220470000002,Anhui,Henan
58,2023.049297,Anhui,Sichuan
59,2022.9944970000001,Anhui,Shanxi
60,2023.030117,Anhui,Zhejiang
61,2023.027837,Anhui,Shandong
62,2023.243817,Shandong,Henan
63,2023.323267,Shandong,Sichuan
64,2023.030117,Anhui,Zhejiang
65,2023.150667,Anhui,Gansu
66,2023.008207,Anhui,Shanghai
67,2022.997237,Anhui,Shandong
68,2023.0273770000001,Anhui,Sichuan
69,2023.282177,Anhui,Shanghai
70,2023.0054670000002,Anhui,Hainan
71,2022.946427,Anhui,Shanxi
72,2023.0054670000002,Anhui,Hainan
73,2023.043817,Anhui,Fujian
74,2023.016427,Anhui,Shanghai
75,2022.9944970000001,Anhui,Shandong
76,2023.002727,Anhui,Sichuan
77,2023.0054670000002,Sichuan,Hainan
78,2023.0054670000002,Anhui,Hainan
79,2023.262997,Anhui,Shanghai
80,2023.2794370000001,Anhui,Heilongjiang
81,2023.128187,Anhui,Henan
82,2023.205467,Henan,Sichuan
83,2022.664567,Anhui,Sichuan
84,2023.049307,Sichuan,Jiangxi
85,2023.2520470000002,Sichuan,Shandong
86,2023.2082070000001,Sichuan,Tianjin
87,2023.342457,Sichuan,Shanghai
88,2023.0328670000001,Sichuan,Ningxia
89,2022.942457,Sichuan,Jilin
90,2023.167107,Sichuan,Yunnan
91,2023.191767,Sichuan,Beijing
92,2023.345197,Sichuan,Yunnan
93,2023.1561470000001,Sichuan,Hubei
94,2023.021897,Sichuan,Chongqing
95,2023.326017,Sichuan,Fujian
96,2023.1561570000001,Sichuan,Xinjiang
97,2023.0136870000001,Sichuan,Xinjiang
98,2022.8385070000002,Sichuan,Hubei
99,2022.774467,Sichuan,Fujian
100,2023.295877,Sichuan,Shanghai
101,2023.0136770000001,Sichuan,Hunan
102,2022.997247,Sichuan,Jiangxi
103,2023.230117,Sichuan,Xinjiang
104,2022.936207,Sichuan,Shandong
105,2023.060257,Shandong,Hainan
106,2023.120537,Sichuan,Hainan
107,2023.202727,Sichuan,Zhejiang
108,2023.282177,Sichuan,Jiangsu
109,2022.997247,Sichuan,Yunnan
110,2023.210947,Sichuan,Inner Mongolia
111,2023.2029770000001,Sichuan,Yunnan
112,2023.254787,Yunnan,Zhejiang
113,2023.2712270000002,Yunnan,Sichuan
114,2022.7785370000001,Sichuan,Shaanxi
115,2023.117297,Shaanxi,Fujian
116,2023.241087,Sichuan,Hebei
117,2023.049307,Sichuan,Heilongjiang
118,2022.936977,Sichuan,Shanghai
119,2023.268487,Sichuan,Zhejiang
120,2022.946057,Sichuan,Hebei
121,2023.030137,Hebei,Hubei
122,2023.304097,Hebei,Jiangsu
123,2023.009387,Hebei,Liaoning
124,2023.3232870000002,Liaoning,Shanxi
125,2023.347937,Liaoning,Beijing
126,2023.287657,Liaoning,Hubei
127,2022.997247,Sichuan,Zhejiang
128,2023.0191570000002,Sichuan,Yunnan
129,2023.1753270000002,Sichuan,Hainan
130,2023.164367,Sichuan,Zhejiang
131,2023.0465570000001,Sichuan,Gansu
132,2022.983547,Sichuan,Xinjiang
133,2023.315057,Sichuan,Henan
134,2022.743527,Sichuan,Shaanxi
135,2023.0136870000001,Shaanxi,Inner Mongolia
136,2023.021897,Shaanxi,Zhejiang
137,2023.016417,Shaanxi,Hebei
138,2022.802787,Shaanxi,Taiwan
139,2022.836837,Shaanxi,Hong Kong
140,2023.0136770000001,Hong Kong,Taiwan
141,2022.898187,Shaanxi,Guangdong
142,2023.3451870000001,Guangdong,Hubei
143,2022.997247,Shaanxi,Gansu
144,2023.223547,Shaanxi,Sichuan
145,2022.850987,Shaanxi,Ningxia
146,2023.095877,Ningxia,Hebei
147,2023.030127,Ningxia,Inner Mongolia
148,2023.030127,Ningxia,Tianjin
149,2023.252037,Ningxia,Beijing
150,2022.9375670000002,Ningxia,Tianjin
151,2023.025337,Tianjin,Jiangsu
152,2023.183547,Jiangsu,Yunnan
153,2022.719787,Sichuan,Guangxi
154,2023.0054670000002,Guangxi,Hainan
155,2023.2136870000002,Guangxi,Shanghai
156,2023.1177870000001,Guangxi,Shandong
157,2023.323267,Guangxi,Guangdong
158,2022.806207,Guangxi,Hainan
159,2022.975327,Hainan,Jiangsu
160,2022.939707,Hainan,Guizhou
161,2023.2010870000001,Guangxi,Jiangxi
162,2022.944627,Guangxi,Liaoning
163,2023.361637,Liaoning,Shanxi
164,2022.997247,Liaoning,Gansu
165,2023.238347,Guangxi,Inner Mongolia
166,2023.147937,Guangxi,Shaanxi
167,2023.030127,Guangxi,Chongqing
168,2022.9999870000001,Guangxi,Yunnan
169,2023.069287,Guangxi,Shandong
170,2022.8137370000002,Guangxi,Yunnan
171,2023.093127,Yunnan,Hebei
172,2023.002717,Yunnan,Hunan
173,2023.161617,Yunnan,Qinghai
174,2023.3314870000002,Yunnan,Jiangxi
175,2023.1561470000001,Yunnan,Xinjiang
176,2022.9944970000001,Yunnan,Inner Mongolia
177,2022.881937,Yunnan,Guizhou
178,2023.005457,Guizhou,Hunan
179,2023.1099470000001,Yunnan,Guangdong
180,2022.997247,Sichuan,Chongqing
181,2023.016417,Sichuan,Shanxi
182,2022.9232670000001,Sichuan,Shanghai
183,2022.915357,Sichuan,Xinjiang
184,2023.235607,Xinjiang,Tianjin
185,2023.1040970000001,Sichuan,Hebei
186,2023.0136870000001,Sichuan,Jiangsu
187,2022.9342370000002,Sichuan,Xinjiang
188,2023.0383470000002,Sichuan,Gansu
189,2022.923277,Sichuan,Anhui
