,EventTime,Origin,Destination
1103,2022.193397,Hong Kong,Shanghai
16,2022.378607,Hong Kong,Taiwan
960,2022.431357,Hong Kong,Guangxi
975,2022.466957,Hong Kong,Yunnan
33,2022.471557,Hong Kong,Taiwan
564,2022.497137,Hong Kong,Jiangsu
26,2022.523297,Taiwan,Shanghai
492,2022.526657,Hong Kong,Taiwan
985,2022.532407,Yunnan,Taiwan
965,2022.537707,Guangxi,Taiwan
947,2022.547237,Hong Kong,Taiwan
505,2022.550587,Hong Kong,Henan
1165,2022.553997,Shanghai,Jiangsu
962,2022.562617,Guangxi,Yunnan
931,2022.563447,Hong Kong,Taiwan
36,2022.570627,Hong Kong,Anhui
496,2022.607477,Hong Kong,Xinjiang
567,2022.629107,Jiangsu,Yunnan
629,2022.632397,Jiangsu,Anhui
982,2022.632987,Yunnan,Guangdong
517,2022.645437,Henan,Hebei
972,2022.646007,Guangxi,Taiwan
987,2022.649307,Taiwan,Yunnan
83,2022.664567,Anhui,Sichuan
976,2022.669147,Yunnan,Jilin
1300,2022.672717,Jiangsu,Zhejiang
945,2022.679547,Hong Kong,Shandong
936,2022.694907,Hong Kong,Shanghai
638,2022.696787,Anhui,Chongqing
31,2022.697967,Shanghai,Hong Kong
37,2022.698767,Anhui,Shandong
604,2022.700957,Yunnan,Inner Mongolia
28,2022.702507,Shanghai,Hong Kong
1673,2022.707177,Shanghai,Hubei
1308,2022.713737,Zhejiang,Guangdong
153,2022.719787,Sichuan,Guangxi
370,2022.732527,Sichuan,Anhui
493,2022.734887,Hong Kong,Taiwan
631,2022.735197,Anhui,Jiangxi
134,2022.743527,Sichuan,Shaanxi
983,2022.745087,Guangdong,Jilin
210,2022.745167,Sichuan,Tianjin
1299,2022.751037,Jiangsu,Shanghai
662,2022.752997,Anhui,Hebei
275,2022.753207,Sichuan,Shanghai
658,2022.753347,Anhui,Jilin
700,2022.760537,Anhui,Heilongjiang
1104,2022.766427,Shanghai,Yunnan
668,2022.771227,Anhui,Jilin
99,2022.774467,Sichuan,Fujian
431,2022.775117,Anhui,Zhejiang
114,2022.778537,Sichuan,Shaanxi
775,2022.781707,Jiangsu,Taiwan
689,2022.784567,Anhui,Beijing
1002,2022.786737,Taiwan,Shanghai
940,2022.786837,Hong Kong,Shanghai
518,2022.787417,Hebei,Hunan
1,2022.792737,Hong Kong,Hebei
701,2022.799177,Heilongjiang,Shaanxi
138,2022.802787,Shaanxi,Taiwan
158,2022.806207,Guangxi,Hainan
725,2022.806917,Anhui,Shanghai
575,2022.807237,Yunnan,Sichuan
506,2022.811707,Henan,Qinghai
958,2022.812967,Hong Kong,Guangdong
170,2022.813737,Guangxi,Yunnan
530,2022.825237,Hebei,Tianjin
509,2022.825327,Henan,Shanghai
539,2022.826017,Hebei,Shandong
714,2022.826847,Heilongjiang,Hunan
286,2022.827227,Shanghai,Fujian
1131,2022.827917,Yunnan,Taiwan
758,2022.828367,Jiangsu,Liaoning
779,2022.829667,Jiangsu,Shaanxi
519,2022.835357,Hunan,Hebei
139,2022.836837,Shaanxi,Hong Kong
703,2022.836867,Heilongjiang,Tianjin
825,2022.838287,Jiangsu,Zhejiang
98,2022.838507,Sichuan,Hubei
255,2022.839307,Tianjin,Liaoning
634,2022.840177,Jiangxi,Guangdong
318,2022.842677,Shanghai,Beijing
1900,2022.842927,Shanghai,Zhejiang
523,2022.844257,Hunan,Zhejiang
291,2022.845117,Shanghai,Inner Mongolia
203,2022.845317,Sichuan,Ningxia
398,2022.848377,Anhui,Hubei
1147,2022.848557,Shanghai,Beijing
298,2022.848797,Shanghai,Liaoning
145,2022.850987,Shaanxi,Ningxia
961,2022.852187,Guangxi,Hong Kong
303,2022.852597,Shanghai,Hong Kong
740,2022.852927,Shanghai,Shanxi
543,2022.855087,Shandong,Anhui
332,2022.855297,Shanghai,Jiangxi
440,2022.855587,Zhejiang,Shanghai
508,2022.855897,Henan,Shanghai
234,2022.858467,Tianjin,Jilin
19,2022.865987,Taiwan,Shanghai
654,2022.871937,Anhui,Guizhou
371,2022.871947,Anhui,Fujian
1311,2022.872007,Guangdong,Taiwan
684,2022.873977,Anhui,Jiangsu
387,2022.874207,Anhui,Shanghai
4,2022.874257,Hebei,Beijing
550,2022.877827,Hebei,Jilin
624,2022.881267,Inner Mongolia,Shaanxi
177,2022.881937,Yunnan,Guizhou
613,2022.888397,Inner Mongolia,Jilin
810,2022.888537,Jiangsu,Jiangxi
763,2022.888757,Jiangsu,Xinjiang
516,2022.889347,Henan,Hubei
