#node	date	numeric date
NODE_0000001	2020-06-18	2020.461847
NODE_0001735	2021-09-27	2021.739554
NODE_0001736	2022-10-14	2022.785895
NODE_0001737	2023-02-01	2023.086301
EPI_ISL_17488290	2023-02-03	2023.091781
EPI_ISL_17488093	2023-02-01	2023.086301
NODE_0001738	2022-11-01	2022.833379
EPI_ISL_17031820	2023-02-02	2023.089041
EPI_ISL_17031841	2023-02-06	2023.100000
NODE_0000011	2022-11-22	2022.891866
EPI_ISL_16604487	2022-12-21	2022.971233
EPI_ISL_16604491	2022-12-28	2022.990411
NODE_0001742	2022-11-13	2022.867423
EPI_ISL_17490683	2022-12-22	2022.973973
EPI_ISL_16854216	2023-01-28	2023.075342
EPI_ISL_16350943	2022-12-20	2022.968493
EPI_ISL_16350922	2022-12-13	2022.949315
EPI_ISL_16350931	2022-12-20	2022.968493
NODE_0001753	2023-01-05	2023.012329
EPI_ISL_16580259	2023-01-05	2023.012329
EPI_ISL_16635748	2023-01-05	2023.012329
NODE_0001764	2023-01-05	2023.012329
EPI_ISL_16580257	2023-01-05	2023.012329
EPI_ISL_16635746	2023-01-05	2023.012329
NODE_0001754	2022-12-07	2022.932124
EPI_ISL_16468026	2022-12-23	2022.976712
NODE_0000010	2022-12-26	2022.984932
EPI_ISL_16468040	2022-12-26	2022.984932
EPI_ISL_17620393	2023-02-19	2023.135616
NODE_0001755	2023-02-03	2023.092986
EPI_ISL_17031923	2023-02-15	2023.124658
NODE_0000012	2023-02-13	2023.119178
EPI_ISL_17031901	2023-02-13	2023.119178
EPI_ISL_17031902	2023-02-13	2023.119178
NODE_0000037	2022-11-30	2022.914012
NODE_0000038	2022-12-02	2022.918539
EPI_ISL_16610707	2022-12-05	2022.927397
NODE_0000040	2022-12-03	2022.922835
EPI_ISL_17489648	2022-12-05	2022.927397
NODE_0000041	2022-12-05	2022.927397
EPI_ISL_16610687	2022-12-05	2022.927397
EPI_ISL_17489513	2022-12-05	2022.927397
NODE_0000014	2022-12-03	2022.922819
EPI_ISL_16709194	2023-01-04	2023.009589
NODE_0000016	2022-12-05	2022.928357
EPI_ISL_16955408	2023-02-02	2023.089041
NODE_0000021	2022-12-07	2022.933536
EPI_ISL_17488391	2023-02-03	2023.091781
NODE_0000022	2022-12-09	2022.938356
EPI_ISL_16350901	2022-12-09	2022.938356
NODE_0000023	2022-12-14	2022.953064
EPI_ISL_16635579	2022-12-15	2022.954795
NODE_0000024	2022-12-16	2022.957534
EPI_ISL_16635580	2022-12-16	2022.957534
NODE_0000025	2023-01-04	2023.009589
EPI_ISL_16604702	2023-01-04	2023.009589
NODE_0000026	2023-02-08	2023.105479
EPI_ISL_16899531	2023-02-08	2023.105479
NODE_0000029	2023-02-13	2023.119178
EPI_ISL_17162734	2023-02-13	2023.119178
NODE_0000030	2023-02-18	2023.133927
EPI_ISL_17104709	2023-02-20	2023.138356
NODE_0000031	2023-02-20	2023.138356
EPI_ISL_17104710	2023-02-20	2023.138356
NODE_0000032	2023-03-18	2023.210085
EPI_ISL_17645554	2023-04-16	2023.289041
NODE_0000034	2023-03-26	2023.231984
EPI_ISL_17645602	2023-04-24	2023.310959
NODE_0000036	2023-04-16	2023.289041
EPI_ISL_17645603	2023-04-24	2023.310959
EPI_ISL_17645553	2023-04-16	2023.289041
NODE_0001681	2021-10-25	2021.816038
NODE_0001682	2022-05-16	2022.371766
EPI_ISL_16327604	2022-12-11	2022.943836
EPI_ISL_16327608	2022-12-14	2022.952055
NODE_0001683	2022-06-14	2022.450999
NODE_0001684	2022-11-10	2022.859146
EPI_ISL_16635979	2023-01-04	2023.009589
EPI_ISL_16635721	2023-01-04	2023.009589
NODE_0001685	2022-10-12	2022.779863
NODE_0001686	2022-11-26	2022.902671
EPI_ISL_17581255	2022-12-27	2022.987671
NODE_0001687	2022-12-18	2022.963014
EPI_ISL_17581253	2022-12-20	2022.968493
EPI_ISL_17581252	2022-12-18	2022.963014
NODE_0001688	2022-11-29	2022.910088
EPI_ISL_17712553	2023-04-22	2023.305479
EPI_ISL_17280338	2023-03-09	2023.184932
NODE_0001691	2023-02-08	2023.105912
EPI_ISL_17213327	2023-02-24	2023.149315
EPI_ISL_17280364	2023-03-06	2023.176712
NODE_0001693	2022-12-21	2022.971061
EPI_ISL_18320405	2023-03-23	2023.223288
EPI_ISL_18313173	2023-04-05	2023.258904
NODE_0001694	2023-02-03	2023.090951
EPI_ISL_18313242	2023-04-04	2023.256164
EPI_ISL_17213325	2023-02-24	2023.149315
NODE_0001697	2022-06-07	2022.432369
EPI_ISL_16830922	2023-01-19	2023.050685
EPI_ISL_16853361	2023-01-14	2023.036986
EPI_ISL_17488262	2023-01-13	2023.034247
NODE_0001701	2023-01-30	2023.080822
EPI_ISL_17685273	2023-01-30	2023.080822
EPI_ISL_17685286	2023-02-04	2023.094521
NODE_0001702	2022-06-25	2022.481314
EPI_ISL_17187461	2023-02-19	2023.135616
EPI_ISL_16902516	2023-02-02	2023.089041
NODE_0001704	2022-11-23	2022.894940
EPI_ISL_16723883	2023-01-07	2023.017808
EPI_ISL_16723884	2023-01-07	2023.017808
NODE_0001705	2022-07-25	2022.562088
EPI_ISL_16827464	2023-01-25	2023.067123
EPI_ISL_17013590	2023-01-28	2023.075342
EPI_ISL_16827465	2023-01-26	2023.069863
NODE_0001709	2022-07-08	2022.516455
EPI_ISL_16327529	2022-12-10	2022.941096
EPI_ISL_16481870	2022-12-30	2022.995890
EPI_ISL_16327565	2022-12-10	2022.941096
EPI_ISL_16327459	2022-12-01	2022.916438
NODE_0001722	2022-09-11	2022.695661
EPI_ISL_16717104	2023-01-08	2023.020548
EPI_ISL_16376723	2022-12-09	2022.938356
NODE_0001723	2022-11-01	2022.835544
EPI_ISL_16524131	2023-01-09	2023.023288
EPI_ISL_16524101	2022-12-27	2022.987671
NODE_0001726	2022-10-09	2022.770633
EPI_ISL_16524126	2023-01-08	2023.020548
EPI_ISL_16376737	2022-12-10	2022.941096
NODE_0000077	2022-07-30	2022.576383
EPI_ISL_16481868	2022-12-22	2022.973973
NODE_0000057	2022-08-11	2022.610162
EPI_ISL_16635988	2023-01-04	2023.009589
NODE_0000061	2022-08-31	2022.663280
EPI_ISL_16327536	2022-12-09	2022.938356
NODE_0000062	2022-08-31	2022.663280
EPI_ISL_16481869	2023-01-02	2023.004110
NODE_0000066	2022-08-31	2022.663280
NODE_0000067	2022-09-10	2022.691118
EPI_ISL_17490659	2023-01-04	2023.009589
NODE_0000069	2022-09-10	2022.691118
NODE_0001728	2022-11-30	2022.915031
EPI_ISL_17581655	2022-12-01	2022.916438
EPI_ISL_16524122	2023-01-03	2023.006849
NODE_0000071	2022-09-10	2022.691118
EPI_ISL_17685311	2023-02-16	2023.127397
EPI_ISL_17187465	2023-02-21	2023.141096
NODE_0001713	2023-02-13	2023.118323
EPI_ISL_17511960	2023-03-19	2023.212329
NODE_0001714	2023-02-26	2023.155991
EPI_ISL_17511938	2023-03-29	2023.239726
EPI_ISL_17619042	2023-04-23	2023.308219
EPI_ISL_17625537	2023-04-23	2023.308219
NODE_0000089	2023-03-23	2023.223288
EPI_ISL_17511932	2023-03-23	2023.223288
NODE_0000075	2023-03-26	2023.231507
EPI_ISL_17511937	2023-03-26	2023.231507
NODE_0000076	2023-04-14	2023.283562
EPI_ISL_17619223	2023-04-14	2023.283562
EPI_ISL_17618313	2023-04-14	2023.283562
NODE_0000799	2022-01-09	2022.023266
