,Sichuan,Jiangxi,Shanghai,Hong Kong,Beijing,Hainan,Chongqing,Inner Mongolia,Jilin,Fujian,Anhui,Guangxi,Taiwan,Liaoning,Shandong,Gansu,Jiangsu,Guangdong,Qinghai,Tianjin,Heilongjiang,Henan,Hubei,Ningxia,Hebei,Shaanxi,Xinjiang,Yunnan,Hunan,Shanxi,Guizhou,Zhejiang
Sichuan,0,7,24,0,4,6,3,2,1,10,6,2,1,0,2,6,4,2,0,3,4,4,9,2,3,3,10,21,1,1,2,6
Jiangxi,1,0,0,0,0,0,0,0,1,12,4,3,0,0,0,0,1,2,0,0,0,1,3,0,0,0,1,2,0,0,1,3
Shanghai,16,5,0,10,11,4,1,4,4,10,13,1,10,3,1,1,18,19,2,3,11,18,11,2,3,2,1,13,0,5,1,5
Hong Kong,2,2,14,0,1,0,0,1,1,1,2,1,13,1,1,3,3,11,1,0,0,1,1,0,1,0,2,6,0,1,0,2
Beijing,1,3,7,1,0,2,0,1,1,7,0,0,1,2,0,2,1,2,1,1,7,5,1,0,1,0,1,2,0,0,1,8
Hainan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,1,1,0,1,1
Chongqing,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
Inner Mongolia,0,0,1,1,2,2,2,0,5,0,1,1,0,1,1,2,0,1,3,1,0,0,0,2,1,3,0,0,0,1,0,1
Jilin,0,0,1,0,1,0,0,1,0,1,1,1,0,8,0,0,1,2,0,2,6,0,1,1,0,0,1,1,0,0,0,0
Fujian,0,0,4,0,1,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,2,1,2,0,0,0,1,1,0,0,0,1
Anhui,7,9,19,2,4,7,2,3,2,14,0,2,1,2,10,4,13,6,2,2,6,14,4,1,6,1,0,6,0,14,2,10
Guangxi,0,1,2,1,0,4,1,1,1,0,0,0,2,1,3,0,1,1,0,0,0,0,0,0,2,1,0,3,1,0,0,1
Taiwan,0,1,13,9,1,2,0,0,0,3,1,1,0,3,1,1,2,0,0,0,0,0,2,0,0,0,0,8,0,0,0,1
Liaoning,1,1,1,0,3,0,0,0,4,4,2,2,0,0,0,1,0,0,0,0,6,0,3,2,1,0,3,3,0,8,0,0
Shandong,1,0,0,0,0,3,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Gansu,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,2,0,0,0,0,1
Jiangsu,6,10,25,4,5,10,0,7,0,9,23,4,4,2,5,1,0,17,2,1,14,18,13,0,3,5,6,16,3,1,5,13
Guangdong,0,4,5,12,3,0,0,0,1,1,6,0,1,0,0,0,5,0,0,0,1,2,2,0,5,1,1,1,0,0,0,0
Qinghai,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
Tianjin,0,3,0,0,2,2,2,5,3,1,0,0,0,4,2,4,2,4,0,0,2,1,1,0,4,4,4,1,2,3,1,3
Heilongjiang,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,2,0,0
Henan,7,0,11,6,9,1,0,0,0,8,8,0,3,1,0,13,4,1,5,0,1,0,10,0,2,0,6,3,0,12,5,0
Hubei,31,26,22,9,18,0,0,0,0,19,20,0,9,1,2,18,20,16,11,4,22,26,0,0,2,0,23,27,0,17,6,22
Ningxia,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0
Hebei,0,0,0,0,2,0,0,3,7,1,0,0,0,1,4,4,1,3,0,3,1,1,1,3,0,0,0,1,1,1,0,1
Shaanxi,2,2,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4,0,0,1,0,1,0,1
Xinjiang,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,1,2,0,0,1,0,0,1,0,0,0,1
Yunnan,7,3,11,1,5,3,0,2,4,10,4,1,5,1,1,3,2,7,1,1,2,1,2,0,2,2,6,0,1,0,2,5
Hunan,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,1,2
Shanxi,0,0,1,2,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0
Guizhou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Zhejiang,2,1,9,0,1,3,0,0,0,6,7,5,7,2,5,1,3,7,0,3,2,1,2,0,1,2,1,4,2,2,1,0
