,Heilongjiang,Shanghai,Guangdong,Zhejiang,Yunnan,Beijing,Fujian,Henan,Jiangxi,Jiangsu,Taiwan,Qinghai,Hubei,Xinjiang,Hong Kong,Sichuan,Anhui,Shanxi,Gansu
Taiwan,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangsu,14,25,17,13,16,0,0,18,0,0,0,0,13,0,0,0,23,0,0
Sichuan,0,24,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai,11,0,19,0,13,11,0,18,0,18,0,0,11,0,0,16,13,0,0
Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Anhui,0,19,0,0,0,0,14,14,0,13,0,0,0,0,0,0,0,14,0
Hubei,22,22,16,22,27,18,19,26,26,20,0,11,0,23,0,31,20,17,18
Henan,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13
Jiangxi,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,14,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Yunnan,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
