"Origin","Destination","mean_origin_lat","mean_origin_long","mean_destination_lat","mean_destination_long","mean_date","n"
"1","Anhui","Fujian",31.013333,117.01,26.01,119.005,2023-03-18,14
"2","Anhui","Henan",31.013333,117.01,34.011667,113.01,2023-04-18,14
"3","Anhui","Jiangsu",31.013333,117.01,32,118.011667,2023-04-20,13
"4","Anhui","Shanghai",31.013333,117.01,31.003333,121.006667,2023-02-23,19
"5","Anhui","Shanxi",31.013333,117.01,37.013333,112.008333,2023-03-01,14
"6","Guangdong","Hong Kong",23.001667,113.003333,22.25,114.25,2023-05-14,12
"7","Henan","Gansu",34.011667,113.01,36,103.011667,2023-07-20,13
"8","Henan","Shanghai",34.011667,113.01,31.003333,121.006667,2023-05-10,11
"9","Henan","Shanxi",34.011667,113.01,37.013333,112.008333,2023-07-22,12
"10","Hong Kong","Guangdong",22.25,114.25,23.001667,113.003333,2023-03-01,11
"11","Hong Kong","Shanghai",22.25,114.25,31.003333,121.006667,2023-01-12,14
"12","Hong Kong","Taiwan",22.25,114.25,25.030724,121.520076,2022-11-01,13
"13","Hubei","Anhui",30.008333,114.003333,31.013333,117.01,2023-05-18,20
"14","Hubei","Beijing",30.008333,114.003333,39.015,116.006667,2023-04-30,18
"15","Hubei","Fujian",30.008333,114.003333,26.01,119.005,2023-06-26,19
"16","Hubei","Gansu",30.008333,114.003333,36,103.011667,2023-06-01,18
"17","Hubei","Guangdong",30.008333,114.003333,23.001667,113.003333,2023-04-17,16
"18","Hubei","Heilongjiang",30.008333,114.003333,45.011667,126.01,2023-05-10,22
"19","Hubei","Henan",30.008333,114.003333,34.011667,113.01,2023-06-11,26
"20","Hubei","Jiangsu",30.008333,114.003333,32,118.011667,2023-05-24,20
"21","Hubei","Jiangxi",30.008333,114.003333,28.01,115.015,2023-05-09,26
"22","Hubei","Qinghai",30.008333,114.003333,36.01,101.013333,2023-05-11,11
"23","Hubei","Shanghai",30.008333,114.003333,31.003333,121.006667,2023-06-04,22
"24","Hubei","Shanxi",30.008333,114.003333,37.013333,112.008333,2023-06-17,17
"25","Hubei","Sichuan",30.008333,114.003333,30.01,104.001667,2023-05-31,31
"26","Hubei","Xinjiang",30.008333,114.003333,43.013333,87.01,2023-06-02,23
"27","Hubei","Yunnan",30.008333,114.003333,25,102.011667,2023-06-01,27
"28","Hubei","Zhejiang",30.008333,114.003333,30.003333,120.001667,2023-05-01,22
"29","Jiangsu","Anhui",32,118.011667,31.013333,117.01,2023-04-10,23
"30","Jiangsu","Guangdong",32,118.011667,23.001667,113.003333,2023-03-10,17
"31","Jiangsu","Heilongjiang",32,118.011667,45.011667,126.01,2023-04-03,14
"32","Jiangsu","Henan",32,118.011667,34.011667,113.01,2023-04-24,18
"33","Jiangsu","Hubei",32,118.011667,30.008333,114.003333,2023-03-26,13
"34","Jiangsu","Shanghai",32,118.011667,31.003333,121.006667,2023-04-04,25
"35","Jiangsu","Yunnan",32,118.011667,25,102.011667,2023-04-25,16
"36","Jiangsu","Zhejiang",32,118.011667,30.003333,120.001667,2023-02-07,13
"37","Jiangxi","Fujian",28.01,115.015,26.01,119.005,2023-05-18,12
"38","Shanghai","Anhui",31.003333,121.006667,31.013333,117.01,2023-02-21,13
"39","Shanghai","Beijing",31.003333,121.006667,39.015,116.006667,2023-02-27,11
"40","Shanghai","Guangdong",31.003333,121.006667,23.001667,113.003333,2023-03-28,19
"41","Shanghai","Heilongjiang",31.003333,121.006667,45.011667,126.01,2023-04-24,11
"42","Shanghai","Henan",31.003333,121.006667,34.011667,113.01,2023-03-28,18
"43","Shanghai","Hubei",31.003333,121.006667,30.008333,114.003333,2023-02-11,11
"44","Shanghai","Jiangsu",31.003333,121.006667,32,118.011667,2023-03-26,18
"45","Shanghai","Sichuan",31.003333,121.006667,30.01,104.001667,2023-05-08,16
"46","Shanghai","Yunnan",31.003333,121.006667,25,102.011667,2023-03-27,13
"47","Sichuan","Shanghai",30.01,104.001667,31.003333,121.006667,2023-05-04,24
"48","Sichuan","Yunnan",30.01,104.001667,25,102.011667,2023-04-21,21
"49","Taiwan","Shanghai",25.030724,121.520076,31.003333,121.006667,2023-02-28,13
"50","Yunnan","Shanghai",25,102.011667,31.003333,121.006667,2023-05-26,11
