"Origin","Destination","mean_origin_lat","mean_origin_long","mean_destination_lat","mean_destination_long","mean_date","n"
"1","Anhui","Shanghai",31.013333,117.01,31.003333,121.006667,2022-12-18,12
"2","Hong Kong","Taiwan",22.25,114.25,25.030724,121.520076,2022-10-12,12
"3","Anhui","Shandong",31.013333,117.01,36.01,117,2022-12-25,10
"4","Jiangsu","Hainan",32,118.011667,20,110.005,2023-01-19,10
"5","Jiangsu","Hubei",32,118.011667,30.008333,114.003333,2023-02-26,10
"6","Jiangsu","Shanghai",32,118.011667,31.003333,121.006667,2023-01-15,10
"7","Jiangsu","Zhejiang",32,118.011667,30.003333,120.001667,2023-01-07,10
"8","Anhui","Shanxi",31.013333,117.01,37.013333,112.008333,2023-01-10,9
"9","Hong Kong","Shanghai",22.25,114.25,31.003333,121.006667,2022-11-09,9
"10","Jiangsu","Guangdong",32,118.011667,23.001667,113.003333,2023-01-25,9
"11","Shanghai","Henan",31.003333,121.006667,34.011667,113.01,2023-02-03,9
"12","Anhui","Fujian",31.013333,117.01,26.01,119.005,2022-12-30,8
"13","Jiangsu","Anhui",32,118.011667,31.013333,117.01,2023-01-06,8
"14","Shanghai","Anhui",31.003333,121.006667,31.013333,117.01,2023-01-07,8
"15","Shanghai","Guangdong",31.003333,121.006667,23.001667,113.003333,2023-02-09,8
"16","Taiwan","Hong Kong",25.030724,121.520076,22.25,114.25,2023-01-30,8
"17","Taiwan","Shanghai",25.030724,121.520076,31.003333,121.006667,2022-12-01,8
"18","Anhui","Hainan",31.013333,117.01,20,110.005,2023-01-07,7
"19","Anhui","Zhejiang",31.013333,117.01,30.003333,120.001667,2022-12-18,7
"20","Beijing","Zhejiang",39.015,116.006667,30.003333,120.001667,2023-01-11,7
