,EventTime,Origin,Destination
1,2023.523307,Henan,Guizhou
2,2023.523307,Hubei,Hong Kong
3,2023.526027,Henan,Hong Kong
4,2023.526027,Gansu,Qinghai
5,2023.528757,Anhui,Fujian
6,2023.528757,Hong Kong,Jiangsu
7,2023.528767,Hubei,Guizhou
8,2023.528777,Jiangsu,Anhui
9,2023.528797,Anhui,Hong Kong
10,2023.529757,Hubei,Gansu
11,2023.531527,Hubei,Anhui
12,2023.534247,Hubei,Shanxi
13,2023.534257,Jiangsu,Anhui
14,2023.534267,Hubei,Henan
15,2023.536967,Taiwan,Anhui
16,2023.536997,Fujian,Shanghai
17,2023.537227,Henan,Shanghai
18,2023.539717,Jiangxi,Fujian
19,2023.539717,Shanxi,Hong Kong
20,2023.539727,Hubei,Taiwan
21,2023.539747,Anhui,Henan
22,2023.542467,Hubei,Henan
23,2023.545207,Hubei,Taiwan
24,2023.545217,Jiangxi,Anhui
25,2023.547957,Hubei,Sichuan
26,2023.547957,Hubei,Fujian
27,2023.550677,Henan,Hong Kong
28,2023.550687,Hubei,Guizhou
29,2023.552087,Shanghai,Taiwan
30,2023.553417,Fujian,Xinjiang
31,2023.553417,Jiangxi,Fujian
32,2023.553427,Hubei,Sichuan
33,2023.553427,Henan,Hubei
34,2023.553437,Fujian,Yunnan
35,2023.553437,Guangdong,Yunnan
36,2023.554357,Jiangsu,Henan
37,2023.556157,Jiangsu,Xinjiang
38,2023.556167,Jiangsu,Xinjiang
39,2023.556177,Jiangsu,Henan
40,2023.556277,Sichuan,Fujian
41,2023.558917,Hubei,Guizhou
42,2023.560677,Shanghai,Fujian
43,2023.561637,Qinghai,Henan
44,2023.564397,Jiangsu,Henan
45,2023.564397,Jiangsu,Shanghai
46,2023.564407,Anhui,Henan
47,2023.567117,Henan,Shanxi
48,2023.567127,Sichuan,Shanghai
49,2023.567137,Anhui,Shanghai
50,2023.567147,Hubei,Anhui
51,2023.569867,Taiwan,Shanghai
52,2023.569867,Yunnan,Fujian
53,2023.569867,Yunnan,Shanghai
54,2023.572607,Beijing,Shanghai
55,2023.578097,Anhui,Fujian
56,2023.580817,Hubei,Henan
57,2023.580827,Hubei,Shanghai
58,2023.583557,Henan,Sichuan
59,2023.583567,Sichuan,Yunnan
60,2023.583567,Hubei,Henan
61,2023.583567,Hubei,Fujian
62,2023.583577,Guangdong,Xinjiang
63,2023.583587,Jiangsu,Sichuan
64,2023.586297,Hubei,Anhui
65,2023.586297,Hubei,Gansu
66,2023.586307,Henan,Shanghai
67,2023.586317,Hubei,Yunnan
68,2023.588257,Shanxi,Hong Kong
69,2023.589037,Hubei,Henan
70,2023.589047,Sichuan,Yunnan
71,2023.589047,Hubei,Henan
72,2023.589067,Hubei,Anhui
73,2023.590357,Sichuan,Fujian
74,2023.591767,Qinghai,Sichuan
75,2023.591777,Hubei,Xinjiang
76,2023.591787,Gansu,Henan
77,2023.591797,Jiangsu,Fujian
78,2023.591797,Jiangsu,Yunnan
79,2023.591797,Henan,Sichuan
80,2023.591807,Hubei,Yunnan
81,2023.594517,Guangdong,Hong Kong
82,2023.594517,Guangdong,Shanghai
83,2023.594527,Hubei,Henan
84,2023.594527,Shanghai,Taiwan
85,2023.594527,Hubei,Taiwan
86,2023.594537,Anhui,Shanghai
87,2023.594537,Hubei,Yunnan
88,2023.597247,Anhui,Yunnan
89,2023.597257,Henan,Yunnan
90,2023.597277,Anhui,Henan
91,2023.599987,Hubei,Taiwan
92,2023.599987,Henan,Guizhou
93,2023.599997,Anhui,Taiwan
94,2023.599997,Henan,Taiwan
95,2023.599997,Hubei,Hong Kong
96,2023.602737,Hong Kong,Qinghai
97,2023.605477,Hubei,Fujian
98,2023.605477,Hubei,Fujian
99,2023.605487,Hubei,Henan
100,2023.605487,Hubei,Yunnan
101,2023.605487,Hubei,Sichuan
102,2023.605487,Xinjiang,Qinghai
103,2023.607037,Sichuan,Gansu
104,2023.608217,Shanghai,Yunnan
105,2023.608217,Henan,Shanghai
106,2023.608227,Sichuan,Shanghai
107,2023.608227,Hubei,Hong Kong
108,2023.608237,Hubei,Fujian
109,2023.610007,Jiangxi,Yunnan
110,2023.610967,Hubei,Sichuan
111,2023.616437,Hubei,Hong Kong
112,2023.616447,Guangdong,Shanghai
113,2023.619177,Hubei,Guizhou
114,2023.619187,Hubei,Fujian
115,2023.619187,Jiangsu,Sichuan
116,2023.619607,Hubei,Henan
117,2023.620157,Anhui,Gansu
118,2023.621927,Hubei,Fujian
119,2023.624647,Shanghai,Taiwan
120,2023.624657,Jiangsu,Anhui
121,2023.624667,Hubei,Shanghai
122,2023.624667,Hubei,Anhui
123,2023.627407,Jiangsu,Yunnan
124,2023.630127,Henan,Yunnan
125,2023.630137,Sichuan,Hubei
126,2023.630147,Anhui,Shanghai
127,2023.630147,Qinghai,Gansu
128,2023.632867,Qinghai,Gansu
129,2023.632877,Zhejiang,Gansu
130,2023.632877,Hubei,Gansu
131,2023.632887,Hubei,Yunnan
132,2023.638357,Sichuan,Shanghai
133,2023.638357,Zhejiang,Guizhou
134,2023.641097,Jiangsu,Sichuan
135,2023.641117,Hubei,Yunnan
136,2023.643827,Henan,Hubei
137,2023.646577,Yunnan,Fujian
138,2023.652057,Henan,Gansu
139,2023.652067,Shanghai,Fujian
140,2023.654797,Jiangsu,Yunnan
141,2023.654797,Fujian,Shanghai
142,2023.656717,Hubei,Shanghai
143,2023.657547,Hubei,Fujian
144,2023.665667,Hubei,Shanghai
145,2023.665757,Hubei,Shanghai
146,2023.665757,Shanghai,Fujian
147,2023.665767,Jiangxi,Sichuan
148,2023.668487,Sichuan,Shanghai
149,2023.673977,Hubei,Hong Kong
150,2023.676727,Hubei,Fujian
151,2023.679457,Henan,Hubei
152,2023.679467,Hubei,Sichuan
153,2023.682197,Jiangsu,Hubei
154,2023.682847,Sichuan,Hubei
155,2023.684927,Yunnan,Shanghai
156,2023.687657,Henan,Guizhou
157,2023.687657,Henan,Guizhou
158,2023.687667,Henan,Guizhou
159,2023.690407,Hubei,Shanghai
160,2023.690407,Sichuan,Shanghai
161,2023.690417,Yunnan,Sichuan
162,2023.693157,Hubei,Sichuan
163,2023.698627,Yunnan,Shanghai
164,2023.698627,Shanghai,Qinghai
165,2023.698637,Xinjiang,Shanghai
166,2023.701357,Henan,Shanxi
167,2023.701367,Sichuan,Shanghai
168,2023.701367,Sichuan,Gansu
169,2023.701367,Henan,Shanxi
170,2023.701367,Henan,Fujian
171,2023.704097,Henan,Fujian
172,2023.704107,Henan,Shanxi
173,2023.704107,Henan,Fujian
174,2023.704117,Xinjiang,Sichuan
175,2023.706837,Qinghai,Gansu
176,2023.706837,Hong Kong,Gansu
177,2023.706847,Hubei,Gansu
178,2023.706857,Sichuan,Shanghai
179,2023.709597,Taiwan,Shanghai
180,2023.715057,Henan,Qinghai
181,2023.723287,Taiwan,Shanghai
182,2023.723307,Shanghai,Sichuan
183,2023.726027,Henan,Shanghai
184,2023.726027,Shanghai,Fujian
185,2023.731507,Hubei,Fujian
186,2023.739727,Hubei,Henan
187,2023.739737,Henan,Hubei
188,2023.745207,Sichuan,Fujian
189,2023.750687,Henan,Shanxi
190,2023.753427,Henan,Hong Kong
191,2023.756157,Henan,Fujian
192,2023.756167,Henan,Shanxi
193,2023.758907,Henan,Taiwan
194,2023.761627,Henan,Fujian
195,2023.761637,Hubei,Shanxi
196,2023.767127,Hubei,Sichuan
197,2023.769857,Henan,Gansu
198,2023.769867,Hubei,Shanghai
199,2023.772607,Hubei,Shanghai
200,2023.778077,Henan,Shanghai
201,2023.783557,Hong Kong,Gansu
202,2023.789037,Yunnan,Shanghai
203,2023.794517,Henan,Gansu
204,2023.794527,Henan,Gansu
205,2023.799997,Henan,Gansu
206,2023.802737,Henan,Gansu
207,2023.805477,Hong Kong,Gansu
208,2023.805487,Henan,Gansu
