"Origin","Destination","mean_origin_lat","mean_origin_long","mean_destination_lat","mean_destination_long","mean_date","n"
"1","Hubei","Jiangxi",30.008333,114.003333,28.01,115.015,2023-05-18,22
"2","Hubei","Sichuan",30.008333,114.003333,30.01,104.001667,2023-05-22,21
"3","Hubei","Yunnan",30.008333,114.003333,25,102.011667,2023-05-24,19
"4","Hubei","Heilongjiang",30.008333,114.003333,45.011667,126.01,2023-05-31,18
"5","Hubei","Jiangsu",30.008333,114.003333,32,118.011667,2023-05-31,18
"6","Hubei","Xinjiang",30.008333,114.003333,43.013333,87.01,2023-06-20,18
"7","Hubei","Beijing",30.008333,114.003333,39.015,116.006667,2023-05-03,17
"8","Hubei","Zhejiang",30.008333,114.003333,30.003333,120.001667,2023-05-26,16
"9","Hubei","Shanxi",30.008333,114.003333,37.013333,112.008333,2023-06-08,15
"10","Hubei","Guangdong",30.008333,114.003333,23.001667,113.003333,2023-05-02,14
"11","Jiangsu","Shanghai",32,118.011667,31.003333,121.006667,2023-05-22,14
"12","Hubei","Gansu",30.008333,114.003333,36,103.011667,2023-05-23,13
"13","Hubei","Henan",30.008333,114.003333,34.011667,113.01,2023-05-24,13
"14","Sichuan","Yunnan",30.01,104.001667,25,102.011667,2023-05-15,13
"15","Jiangsu","Anhui",32,118.011667,31.013333,117.01,2023-05-16,12
"16","Hubei","Shanghai",30.008333,114.003333,31.003333,121.006667,2023-04-29,11
"17","Shanghai","Guangdong",31.003333,121.006667,23.001667,113.003333,2023-05-02,11
"18","Shanghai","Jiangsu",31.003333,121.006667,32,118.011667,2023-05-04,11
"19","Shanghai","Sichuan",31.003333,121.006667,30.01,104.001667,2023-05-26,11
"20","Sichuan","Shanghai",30.01,104.001667,31.003333,121.006667,2023-05-06,11
