,EventTime,Origin,Destination
1,2023.246557,Tianjin,Inner Mongolia
2,2023.246767,Hubei,Beijing
3,2023.247297,Hubei,Qinghai
4,2023.247317,Sichuan,Yunnan
5,2023.247387,Hubei,Shanghai
6,2023.248017,Yunnan,Taiwan
7,2023.248047,Anhui,Jiangsu
8,2023.248757,Jiangsu,Yunnan
9,2023.249297,Jilin,Tianjin
10,2023.249297,Jiangsu,Jiangxi
11,2023.249297,Shanghai,Jiangsu
12,2023.249317,Hubei,Jiangsu
13,2023.249327,Guangdong,Jiangsu
14,2023.250427,Jiangsu,Yunnan
15,2023.250677,Hubei,Jiangsu
16,2023.250747,Sichuan,Anhui
17,2023.252027,Shanxi,Liaoning
18,2023.252037,Ningxia,Beijing
19,2023.252047,Sichuan,Shandong
20,2023.252047,Jilin,Beijing
21,2023.252047,Tianjin,Beijing
22,2023.252047,Zhejiang,Shanghai
23,2023.252047,Henan,Beijing
24,2023.252057,Jiangsu,Anhui
25,2023.252927,Shanghai,Sichuan
26,2023.254477,Yunnan,Shanghai
27,2023.254767,Yunnan,Anhui
28,2023.254777,Jilin,Anhui
29,2023.254777,Shanghai,Anhui
30,2023.254777,Henan,Anhui
31,2023.254787,Yunnan,Zhejiang
32,2023.254787,Inner Mongolia,Qinghai
33,2023.254807,Shanghai,Anhui
34,2023.254807,Zhejiang,Anhui
35,2023.254817,Hubei,Anhui
36,2023.255477,Hubei,Fujian
37,2023.255567,Liaoning,Yunnan
38,2023.256887,Hubei,Jiangxi
39,2023.257527,Beijing,Liaoning
40,2023.257527,Jilin,Heilongjiang
41,2023.257527,Anhui,Henan
42,2023.257977,Tianjin,Gansu
43,2023.258377,Jiangxi,Hubei
44,2023.260247,Jiangsu,Beijing
45,2023.260257,Beijing,Fujian
46,2023.260257,Yunnan,Heilongjiang
47,2023.260257,Zhejiang,Shanghai
48,2023.260257,Jiangxi,Fujian
49,2023.260267,Zhejiang,Shanghai
50,2023.260267,Zhejiang,Hubei
51,2023.260267,Anhui,Jiangxi
52,2023.260967,Henan,Liaoning
53,2023.262657,Hong Kong,Jiangxi
54,2023.262997,Anhui,Shanghai
55,2023.262997,Chongqing,Qinghai
