Unnamed: 0	Virus Strain Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
4	hCoV-19/Hong Kong/HK-HKPU-PUN685603612/2022	EPI_ISL_17581918	BN.3.1	12/1/2022	China	Hong Kong		BA.2.75*	2022-12-01
6	hCoV-19/Hong Kong/HK-HKPU-PUN530943185/2022	EPI_ISL_17581655	BQ.1.1	12/1/2022	China	Hong Kong		Others	2022-12-01
36	hCoV-19/Shaanxi/SXCDC-YU001/2022	EPI_ISL_16709252	BF.7.14	12/1/2022	China	Shaanxi	Yulin	BF.7.14*	2022-12-01
40	hCoV-19/Yunnan/IVDC-1367/2022	EPI_ISL_16641617	BF.7.14	12/1/2022	China	Yunnan	Ruili	BF.7.14*	2022-12-01
41	hCoV-19/Yunnan/IVDC-1366/2022	EPI_ISL_16641616	BF.7.14	12/1/2022	China	Yunnan	Ruili	BF.7.14*	2022-12-01
43	hCoV-19/Inner Mongolia/IVDC-1226/2022	EPI_ISL_16635252	BA.5.2.49	12/1/2022	China	Inner Mongolia	Wuhai	BA.5.2*	2022-12-01
45	hCoV-19/Inner Mongolia/IVDC-1224/2022	EPI_ISL_16635250	BF.7.14	12/1/2022	China	Inner Mongolia	Wuhai	BF.7.14*	2022-12-01
49	hCoV-19/Ningxia/IVDC-1306/2022	EPI_ISL_16635070	BA.5.2.48	12/1/2022	China	Ningxia	Zhongning	BA.5.2*	2022-12-01
59	hCoV-19/Shanghai/IVDC-1614/2022	EPI_ISL_16634507	BA.5.2.49	12/1/2022	China	Shanghai	Jiading	BA.5.2*	2022-12-01
65	hCoV-19/Shanghai/IVDC-1608/2022	EPI_ISL_16634501	BF.7.14	12/1/2022	China	Shanghai	Xuhui	BF.7.14*	2022-12-01
70	hCoV-19/Shanghai/IVDC-1603/2022	EPI_ISL_16634496	BF.7.14	12/1/2022	China	Shanghai	Changning	BF.7.14*	2022-12-01
76	hCoV-19/Shanghai/IVDC-1597/2022	EPI_ISL_16634490	BF.7.14	12/1/2022	China	Shanghai	Xuhui	BF.7.14*	2022-12-01
77	hCoV-19/Shanghai/IVDC-1596/2022	EPI_ISL_16634489	BF.7.14	12/1/2022	China	Shanghai	Xuhui	BF.7.14*	2022-12-01
78	hCoV-19/Shanghai/IVDC-1595/2022	EPI_ISL_16634488	BF.7.14	12/1/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-01
85	hCoV-19/Shanghai/IVDC-1588/2022	EPI_ISL_16634481	BA.5.2.48	12/1/2022	China	Shanghai	Songjiang	BA.5.2*	2022-12-01
86	hCoV-19/Shanghai/IVDC-1587/2022	EPI_ISL_16634480	BA.5.2.48	12/1/2022	China	Shanghai	Songjiang	BA.5.2*	2022-12-01
97	hCoV-19/Shanghai/IVDC-1576/2022	EPI_ISL_16634469	BF.7.14	12/1/2022	China	Shanghai	Pudong	BF.7.14*	2022-12-01
104	hCoV-19/Shanghai/IVDC-1569/2022	EPI_ISL_16634462	BA.5.2.49	12/1/2022	China	Shanghai	Pudong	BA.5.2*	2022-12-01
118	hCoV-19/Shanghai/IVDC-1555/2022	EPI_ISL_16634448	BF.7.14	12/1/2022	China	Shanghai	Jingan	BF.7.14*	2022-12-01
140	hCoV-19/Shanghai/IVDC-1533/2022	EPI_ISL_16634426	BF.7.14	12/1/2022	China	Shanghai	Songjiang	BF.7.14*	2022-12-01
153	hCoV-19/Shanghai/IVDC-1520/2022	EPI_ISL_16634413	BA.5.2.49	12/1/2022	China	Shanghai	Pudong	BA.5.2*	2022-12-01
159	hCoV-19/Shanghai/IVDC-1514/2022	EPI_ISL_16634407	BA.5.2.49	12/1/2022	China	Shanghai	Minhang	BA.5.2*	2022-12-01
172	hCoV-19/Shanghai/IVDC-1501/2022	EPI_ISL_16634394	BF.7.14	12/1/2022	China	Shanghai	Huangpu	BF.7.14*	2022-12-01
176	hCoV-19/Shanghai/IVDC-1497/2022	EPI_ISL_16634390	BF.7.14	12/1/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-01
179	hCoV-19/Shanghai/IVDC-1494/2022	EPI_ISL_16634387	BF.7.14	12/1/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-01
181	hCoV-19/Shanghai/IVDC-1492/2022	EPI_ISL_16634385	BF.7.14	12/1/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-01
183	hCoV-19/Shanghai/IVDC-1490/2022	EPI_ISL_16634383	BA.5.2.49	12/1/2022	China	Shanghai	Minhang	BA.5.2*	2022-12-01
198	hCoV-19/Shanghai/IVDC-1474/2022	EPI_ISL_16634367	BF.7.14	12/1/2022	China	Shanghai	Pudong	BF.7.14*	2022-12-01
208	hCoV-19/Shanghai/IVDC-1464/2022	EPI_ISL_16634357	BA.5.2.48	12/1/2022	China	Shanghai	Pudong	BA.5.2*	2022-12-01
223	hCoV-19/Anhui/WCDC-39/2022	EPI_ISL_16633861	BA.5.2.49	12/1/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-01
230	hCoV-19/Anhui/WCDC-32/2022	EPI_ISL_16633854	BA.5.2.49	12/1/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-01
239	hCoV-19/Anhui/HFCDC-48/2022	EPI_ISL_16599080	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
245	hCoV-19/Anhui/HFCDC-42/2022	EPI_ISL_16599074	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
252	hCoV-19/Anhui/HFCDC-35/2022	EPI_ISL_16599067	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
255	hCoV-19/Anhui/HFCDC-32/2022	EPI_ISL_16599064	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
258	hCoV-19/Anhui/HFCDC-29/2022	EPI_ISL_16599061	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
262	hCoV-19/Anhui/HFCDC-25/2022	EPI_ISL_16599057	BA.5.2.49	12/1/2022	China	Anhui	Hefei	BA.5.2*	2022-12-01
265	hCoV-19/Anhui/HFCDC-22/2022	EPI_ISL_16599054	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
268	hCoV-19/Anhui/HFCDC-19/2022	EPI_ISL_16599051	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
274	hCoV-19/Anhui/HFCDC-13/2022	EPI_ISL_16599045	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
275	hCoV-19/Anhui/HFCDC-12/2022	EPI_ISL_16599044	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
276	hCoV-19/Anhui/HFCDC-11/2022	EPI_ISL_16599043	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
279	hCoV-19/Anhui/HFCDC-8/2022	EPI_ISL_16599040	BA.5.2.49	12/1/2022	China	Anhui	Hefei	BA.5.2*	2022-12-01
281	hCoV-19/Anhui/HFCDC-6/2022	EPI_ISL_16599038	BF.7.14	12/1/2022	China	Anhui	Hefei	BF.7.14*	2022-12-01
295	hCoV-19/Shanghai/SJTU-234921/2022	EPI_ISL_16327459	BQ.1.1.11	12/1/2022	China	Shanghai		Others	2022-12-01
301	hCoV-19/Taiwan/NCKUH-061022012843/2022	EPI_ISL_16298561	BA.5.2.34	12/1/2022	China	Taiwan	Tainan	BA.5.2*	2022-12-01
308	hCoV-19/Hong Kong/VZ22359077/2022	EPI_ISL_16077183	DQ.1	12/1/2022	China	Hong Kong		Others	2022-12-01
314	hCoV-19/Hong Kong/VZ22358956/2022	EPI_ISL_16077177	BA.5.2.13	12/1/2022	China	Hong Kong		BA.5.2*	2022-12-01
315	hCoV-19/Hong Kong/VZ22358955/2022	EPI_ISL_16077176	BF.7	12/1/2022	China	Hong Kong		BA.5.2*	2022-12-01
358	hCoV-19/Hong Kong/HK-HKPU-PUN386761216/2022	EPI_ISL_17581657	BA.5.2.1	12/2/2022	China	Hong Kong		BA.5.2*	2022-12-02
360	hCoV-19/Fujian/FCDC-FJFZLG5258/2022	EPI_ISL_17489531	BF.7.14.1	12/2/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-02
382	hCoV-19/Guangxi/CZ-15618/2022	EPI_ISL_17086547	BN.1.3	12/2/2022	China	Guangxi	Chongzuo	BA.2.75*	2022-12-02
383	hCoV-19/Guangxi/CZ-15617/2022	EPI_ISL_17086546	BN.1.3	12/2/2022	China	Guangxi	Chongzuo	BA.2.75*	2022-12-02
384	hCoV-19/Yunnan/YCDC-15/2022	EPI_ISL_16750667	BN.1.2	12/2/2022	China	Yunnan		BA.2.75*	2022-12-02
385	hCoV-19/Yunnan/YCDC-14/2022	EPI_ISL_16750666	BN.1.3	12/2/2022	China	Yunnan		BA.2.75*	2022-12-02
396	hCoV-19/Shaanxi/SXCDC-X023/2022	EPI_ISL_16709485	BF.7.14	12/2/2022	China	Shaanxi	Xian	BF.7.14*	2022-12-02
398	hCoV-19/Shaanxi/SXCDC-YU002/2022	EPI_ISL_16709253	BF.7.14	12/2/2022	China	Shaanxi	Yulin	BF.7.14*	2022-12-02
403	hCoV-19/Yunnan/IVDC-1368/2022	EPI_ISL_16641618	BF.7.14	12/2/2022	China	Yunnan	Ruili	BF.7.14*	2022-12-02
404	hCoV-19/Inner Mongolia/IVDC-1234/2022	EPI_ISL_16635260	BA.5.2.49	12/2/2022	China	Inner Mongolia	Ordos	BA.5.2*	2022-12-02
412	hCoV-19/Shanghai/IVDC-1770/2022	EPI_ISL_16634663	BF.7.14	12/2/2022	China	Shanghai	Putuo	BF.7.14*	2022-12-02
433	hCoV-19/Shanghai/IVDC-1688/2022	EPI_ISL_16634581	BA.5.2.48	12/2/2022	China	Shanghai	Songjiang	BA.5.2*	2022-12-02
434	hCoV-19/Shanghai/IVDC-1687/2022	EPI_ISL_16634580	BA.5.2.49	12/2/2022	China	Shanghai	Songjiang	BA.5.2*	2022-12-02
457	hCoV-19/Shanghai/IVDC-1664/2022	EPI_ISL_16634557	BF.7.14	12/2/2022	China	Shanghai	Minhang	BF.7.14*	2022-12-02
460	hCoV-19/Shanghai/IVDC-1661/2022	EPI_ISL_16634554	BF.7.14	12/2/2022	China	Shanghai	Yangpu	BF.7.14*	2022-12-02
499	hCoV-19/Anhui/WCDC-51/2022	EPI_ISL_16633873	BA.5.2.49	12/2/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-02
518	hCoV-19/Jilin/JLCDC-57492/2022	EPI_ISL_16614020	BF.7.14	12/2/2022	China	Jilin	Siping	BF.7.14*	2022-12-02
520	hCoV-19/Jilin/JLCDC-57488/2022	EPI_ISL_16614018	BA.5.2.49	12/2/2022	China	Jilin	Tonghua	BA.5.2*	2022-12-02
523	hCoV-19/Jilin/JLCDC-57485/2022	EPI_ISL_16614015	BF.7.14	12/2/2022	China	Jilin	Changchun	BF.7.14*	2022-12-02
524	hCoV-19/Jilin/JLCDC-57484/2022	EPI_ISL_16614014	BA.5.2.49	12/2/2022	China	Jilin	Changchun	BA.5.2*	2022-12-02
529	hCoV-19/Fujian/FCDC-5264/2022	EPI_ISL_16610665	BF.7.14	12/2/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-02
534	hCoV-19/Fujian/FCDC-5258/2022	EPI_ISL_16610660	BF.7.14	12/2/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-02
542	hCoV-19/Anhui/AQCDC-08/2022	EPI_ISL_16609778	BF.7.14	12/2/2022	China	Anhui	Anqing	BF.7.14*	2022-12-02
