Virus_Strain_Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
hCoV-19/Henan/HBCDC-95/2023	EPI_ISL_18543049	HK.3.13	10/13/2023	China	Henan	Hebi	EG.5.1*	10/13/2023
hCoV-19/Henan/HBCDC-CX82/2023	EPI_ISL_18543025	HK.3	9/28/2023	China	Henan	Hebi	EG.5.1*	9/28/2023
hCoV-19/Guangdong/GPIPH-n-06/2023	EPI_ISL_18535341	BN.1.2.6	5/7/2023	China	Guangdong		BA.2.75*	5/7/2023
hCoV-19/Henan/XYCDC-0413/2023	EPI_ISL_18523044	HK.3.1	10/6/2023	China	Henan		EG.5.1*	10/6/2023
hCoV-19/Henan/XYCDC-0411/2023	EPI_ISL_18523042	HK.27.1	9/27/2023	China	Henan		EG.5.1*	9/27/2023
hCoV-19/Henan/XYCDC-0409/2023	EPI_ISL_18523040	HK.3.1	9/26/2023	China	Henan		EG.5.1*	9/26/2023
hCoV-19/Henan/XYCDC-0398/2023	EPI_ISL_18523029	HK.3.1	9/25/2023	China	Henan		EG.5.1*	9/25/2023
hCoV-19/Shanghai/SCDC-XG10-14823/2023	EPI_ISL_18518401	HK.3.9	10/23/2023	China	Shanghai		EG.5.1*	10/23/2023
hCoV-19/Shanghai/SCDC-XG10-14819/2023	EPI_ISL_18518399	FL.2.3	10/16/2023	China	Shanghai		XBB.1.9.1*	10/16/2023
hCoV-19/Shanghai/SCDC-HP-XG-1017-1/2023	EPI_ISL_18518388	JN.3	10/17/2023	China	Shanghai		Others	10/17/2023
hCoV-19/Shanghai/SCDC-HP-XG-1007-1/2023	EPI_ISL_18518380	FY.3.1	10/7/2023	China	Shanghai		XBB.1.22.1*	10/7/2023
hCoV-19/Shanghai/SCDC-HP-XG-0925-1/2023	EPI_ISL_18518375	XBB.1.16.26	9/25/2023	China	Shanghai		XBB.1.16*	9/25/2023
hCoV-19/Shanghai/SCDC-HG1031-3888/2023	EPI_ISL_18518369	JN.1	10/29/2023	China	Shanghai		Others	10/29/2023
hCoV-19/Shanghai/SCDC-HG1027-3871/2023	EPI_ISL_18518357	BA.2.86.1	10/25/2023	China	Shanghai		Others	10/25/2023
hCoV-19/Henan/XYCDC-0395/2023	EPI_ISL_18508491	EG.5.1.1	9/21/2023	China	Henan		EG.5.1*	9/21/2023
hCoV-19/Henan/XYCDC-0388/2023	EPI_ISL_18508484	HK.3.1	9/21/2023	China	Henan		EG.5.1*	9/21/2023
hCoV-19/Henan/XYCDC-0384/2023	EPI_ISL_18508480	EG.5.1.1	9/20/2023	China	Henan		EG.5.1*	9/20/2023
hCoV-19/Taiwan/CDC-F89433/2023	EPI_ISL_18496166	HK.3	10/29/2023	China	Taiwan		EG.5.1*	10/29/2023
hCoV-19/Gansu/QYCDC-0524-2/2023	EPI_ISL_18496153	FL.24	5/20/2023	China	Gansu	Qingyang	XBB.1.9.1*	5/20/2023
hCoV-19/Gansu/QYCDC-0518-2/2023	EPI_ISL_18496151	XBB.1.16.7	5/19/2023	China	Gansu	Qingyang	XBB.1.16*	5/19/2023
hCoV-19/Gansu/QYCDC-0880-2/2023	EPI_ISL_18495659	EG.5.1.8	9/13/2023	China	Gansu	Qingyang	EG.5.1*	9/13/2023
hCoV-19/Shanghai/SCDC-XG10-14798/2023	EPI_ISL_18495093	BA.2.86.1	10/16/2023	China	Shanghai		Others	10/16/2023
hCoV-19/Shanghai/SCDC-JD1023-2/2023	EPI_ISL_18495062	HK.3.9	10/12/2023	China	Shanghai		EG.5.1*	10/12/2023
hCoV-19/Shanghai/SCDC-HG1025-3862/2023	EPI_ISL_18495058	XBB.1.41.1	10/23/2023	China	Shanghai		Others	10/23/2023
hCoV-19/Shanghai/SCDC-HG1025-3858/2023	EPI_ISL_18495054	HK.3.9	10/23/2023	China	Shanghai		EG.5.1*	10/23/2023
hCoV-19/Shanghai/SCDC-HG1024-3853/2023	EPI_ISL_18495051	FY.5.1.1	10/22/2023	China	Shanghai		XBB.1.22.1*	10/22/2023
hCoV-19/Shanghai/SCDC-HG1024-3851/2023	EPI_ISL_18495050	EG.6.1	10/22/2023	China	Shanghai		Others	10/22/2023
hCoV-19/Henan/XXCDC-081004/2023	EPI_ISL_18495045	FY.3	8/2/2023	China	Henan		XBB.1.22.1*	8/2/2023
hCoV-19/Henan/XXCDC-080203/2023	EPI_ISL_18495039	FY.3	7/30/2023	China	Henan		XBB.1.22.1*	7/30/2023
hCoV-19/Henan/XXCDC-101302/2023	EPI_ISL_18495008	HK.3.9	9/30/2023	China	Henan		EG.5.1*	9/30/2023
hCoV-19/Hubei/HCDC-YC3414/2023	EPI_ISL_18485385	HK.8.1	10/11/2023	China	Hubei	Yichang	EG.5.1*	10/11/2023
hCoV-19/Hubei/HCDC-XG3393/2023	EPI_ISL_18485374	HK.3.1	10/12/2023	China	Hubei	Xiaogan	EG.5.1*	10/12/2023
hCoV-19/Hubei/HCDC-SY3363/2023	EPI_ISL_18485308	HK.32	10/17/2023	China	Hubei	Shiyan	EG.5.1*	10/17/2023
hCoV-19/Hubei/HCDC-SY3362/2023	EPI_ISL_18485307	HK.32	10/17/2023	China	Hubei	Shiyan	EG.5.1*	10/17/2023
hCoV-19/Hubei/HCDC-QJ3377/2023	EPI_ISL_18485292	HK.3.1	9/25/2023	China	Hubei	Qianjiang	EG.5.1*	9/25/2023
hCoV-19/Shanghai/SCDC-14593/2023	EPI_ISL_18481233	EG.5.1.1	9/26/2023	China	Shanghai		EG.5.1*	9/26/2023
hCoV-19/Shanghai/SCDC-14585/2023	EPI_ISL_18481227	EG.5.1.1	10/1/2023	China	Shanghai		EG.5.1*	10/1/2023
hCoV-19/Shanghai/SCDC-14720/2023	EPI_ISL_18481215	FL.2.3	10/17/2023	China	Shanghai		XBB.1.9.1*	10/17/2023
hCoV-19/Shanghai/SCDC-14652/2023	EPI_ISL_18481188	FY.5.3	10/9/2023	China	Shanghai		XBB.1.22.1*	10/9/2023
hCoV-19/Shanghai/SCDC-14576/2023	EPI_ISL_18481186	XBB.1.16.26	10/6/2023	China	Shanghai		XBB.1.16*	10/6/2023
hCoV-19/Shanghai/SCDC-3816/2023	EPI_ISL_18481183	FY.5.3	10/16/2023	China	Shanghai		XBB.1.22.1*	10/16/2023
hCoV-19/Shanghai/SCDC-3824/2023	EPI_ISL_18481178	EG.6.1	10/17/2023	China	Shanghai		Others	10/17/2023
hCoV-19/Shanghai/SCDC-3814/2023	EPI_ISL_18481171	GW.5	10/16/2023	China	Shanghai		Others	10/16/2023
