strain,lineage,country,province,date
EPI_ISL_17581918,BN.3.1,China,Hong Kong,12/1/2022
EPI_ISL_17581655,BQ.1.1,China,Hong Kong,12/1/2022
EPI_ISL_16709252,BF.7.14,China,Others,12/1/2022
EPI_ISL_16641617,BF.7.14,China,Yunnan,12/1/2022
EPI_ISL_16641616,BF.7.14,China,Yunnan,12/1/2022
EPI_ISL_16635252,BA.5.2.49,China,Others,12/1/2022
EPI_ISL_16635250,BF.7.14,China,Others,12/1/2022
EPI_ISL_16635070,BA.5.2.48,China,Others,12/1/2022
EPI_ISL_16634507,BA.5.2.49,China,Shanghai,12/1/2022
EPI_ISL_16634501,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634496,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634490,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634489,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634488,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634481,BA.5.2.48,China,Shanghai,12/1/2022
EPI_ISL_16634480,BA.5.2.48,China,Shanghai,12/1/2022
EPI_ISL_16634469,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634462,BA.5.2.49,China,Shanghai,12/1/2022
EPI_ISL_16634448,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634426,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634413,BA.5.2.49,China,Shanghai,12/1/2022
EPI_ISL_16634407,BA.5.2.49,China,Shanghai,12/1/2022
EPI_ISL_16634394,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634390,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634387,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634385,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634383,BA.5.2.49,China,Shanghai,12/1/2022
EPI_ISL_16634367,BF.7.14,China,Shanghai,12/1/2022
EPI_ISL_16634357,BA.5.2.48,China,Shanghai,12/1/2022
EPI_ISL_16633861,BA.5.2.49,China,Anhui,12/1/2022
EPI_ISL_16633854,BA.5.2.49,China,Anhui,12/1/2022
EPI_ISL_16599080,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599074,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599067,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599064,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599061,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599057,BA.5.2.49,China,Anhui,12/1/2022
EPI_ISL_16599054,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599051,BF.7.14,China,Anhui,12/1/2022
