strain,lineage,date,country,province
EPI_ISL_17581918_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_17581917_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_17581655_new,Others,2022-12-01,China,Hong Kong
EPI_ISL_17581654_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17581653_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17581652_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17581651_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17581650_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17581649_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_17489535_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_17489534_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_17489533_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_17489452_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_17487695_new,BA.5.2*,2022-12-01,China,Hubei
EPI_ISL_17487694_new,BF.7.14*,2022-12-01,China,Hubei
EPI_ISL_17487693_new,BA.5.2*,2022-12-01,China,Hubei
EPI_ISL_16712129_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16712122_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16712076_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16712043_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16712024_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16712009_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711983_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711950_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711947_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711946_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711945_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711940_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711914_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711906_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711876_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16711872_new,BA.5.2*,2022-12-01,China,Guangdong
EPI_ISL_16709252_new,BF.7.14*,2022-12-01,China,Shaanxi
EPI_ISL_16709246_new,BA.5.2*,2022-12-01,China,Shaanxi
EPI_ISL_16641630_new,BA.5.2*,2022-12-01,China,Yunnan
EPI_ISL_16641629_new,BA.5.2*,2022-12-01,China,Yunnan
EPI_ISL_16641617_new,BF.7.14*,2022-12-01,China,Yunnan
EPI_ISL_16641616_new,BF.7.14*,2022-12-01,China,Yunnan
EPI_ISL_16641614_new,BA.5.2*,2022-12-01,China,Yunnan
EPI_ISL_16635252_new,BA.5.2*,2022-12-01,China,Inner Mongolia
EPI_ISL_16635251_new,BA.5.2*,2022-12-01,China,Inner Mongolia
EPI_ISL_16635250_new,BF.7.14*,2022-12-01,China,Inner Mongolia
EPI_ISL_16635129_new,BF.7.14*,2022-12-01,China,Liaoning
EPI_ISL_16635128_new,BF.7.14*,2022-12-01,China,Liaoning
EPI_ISL_16635071_new,BA.5.2*,2022-12-01,China,Ningxia
EPI_ISL_16635070_new,BA.5.2*,2022-12-01,China,Ningxia
EPI_ISL_16634536_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634535_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634534_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634533_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634512_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634511_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634510_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634509_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634508_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634507_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634506_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634505_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634504_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634503_new,BF.7.14*,2022-12-01,China,Shanghai
