"strain","date","country","merged_lineage","date_num"
"EPI_ISL_16604643","2022-12-29","China","BF.7.14*",19355
"EPI_ISL_17307364","2023-03-13","China","BF.7.14*",19429
"EPI_ISL_17830443","2023-06-10","China","XBB.1.16*",19518
"EPI_ISL_17633009","2023-05-02","China","XBB.1.16*",19479
"EPI_ISL_16723229","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723228","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723227","2023-01-29","China","BF.7.14*",19386
"EPI_ISL_16723226","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723225","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723224","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723223","2023-01-29","China","BA.5.2*",19386
"EPI_ISL_16723222","2023-01-29","China","BF.7.14*",19386
"EPI_ISL_16723221","2022-12-22","China","BA.5.2*",19348
"EPI_ISL_16723220","2022-12-26","China","BA.5.2*",19352
"EPI_ISL_16723219","2022-12-26","China","BA.5.2*",19352
"EPI_ISL_16723218","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16723171","2023-01-13","China","BF.7.14*",19370
"EPI_ISL_16723170","2023-01-13","China","BF.7.14*",19370
"EPI_ISL_16723169","2023-01-13","China","BF.7.14*",19370
"EPI_ISL_16723168","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723167","2023-01-12","China","BF.7.14*",19369
"EPI_ISL_16723166","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723165","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16723164","2023-01-13","China","BF.7.14*",19370
"EPI_ISL_16723163","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16723162","2023-01-25","China","BA.5.2*",19382
"EPI_ISL_16723161","2023-01-25","China","BA.5.2*",19382
"EPI_ISL_16723160","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16723159","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16723158","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16723157","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16723156","2023-01-18","China","BA.5.2*",19375
"EPI_ISL_16723155","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16723154","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16723153","2023-01-18","China","BA.5.2*",19375
"EPI_ISL_16723152","2023-01-17","China","BF.7.14*",19374
"EPI_ISL_16723151","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723150","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16723149","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723148","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723147","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723146","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723145","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723144","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723143","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723142","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723141","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723140","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723139","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723138","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723137","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723136","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723135","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723134","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723133","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723132","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723131","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723130","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723129","2023-01-12","China","BA.5.2*",19369
"EPI_ISL_16723128","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723127","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723126","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723125","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723124","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723123","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723122","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723121","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723120","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723119","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16723118","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723117","2023-01-13","China","BF.7.14*",19370
"EPI_ISL_16723116","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723115","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723114","2023-01-13","China","BA.5.2*",19370
"EPI_ISL_16723112","2023-01-11","China","BF.7.14*",19368
"EPI_ISL_16723111","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16723110","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16723109","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16723108","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16723107","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16723106","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16723105","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16723104","2022-12-03","China","BA.5.2*",19329
"EPI_ISL_16723103","2022-12-03","China","BA.5.2*",19329
"EPI_ISL_16723102","2022-12-03","China","BA.5.2*",19329
"EPI_ISL_16723101","2022-12-02","China","BA.5.2*",19328
"EPI_ISL_16723100","2022-12-02","China","BA.5.2*",19328
"EPI_ISL_16723095","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723094","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723093","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723091","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723090","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723089","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723088","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16723087","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723086","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723085","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723084","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723083","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723082","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723081","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723080","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723079","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723078","2023-01-24","China","BF.7.14*",19381
"EPI_ISL_16723077","2023-01-24","China","BF.7.14*",19381
"EPI_ISL_16723076","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723075","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723074","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723073","2023-01-24","China","BF.7.14*",19381
"EPI_ISL_16723072","2023-01-24","China","BF.7.14*",19381
"EPI_ISL_16723071","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723070","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723069","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723067","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723066","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723065","2023-01-24","China","BA.5.2*",19381
"EPI_ISL_16723064","2023-01-24","China","BF.7.14*",19381
"EPI_ISL_16723011","2022-12-04","China","BA.5.2*",19330
"EPI_ISL_16720511","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720510","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720509","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720508","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720507","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720506","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720505","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720504","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720503","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720502","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720501","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720500","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720499","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720498","2023-01-20","China","BA.5.2*",19377
